Country,Capital,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Afghanistan,Kabul,North,East,3852.6952340000003,9243.020276000001,3283.4941949999998,7937.373451,2267.337882,10229.32231,3140.46094,3687.702265,8381.179784,6496.640378,2502.8690920000004,2596.700595,3955.769518,7290.724741,3852.6952340000003
Albania,Tirane,North,East,6571.702756000001,6650.258831,645.8761295,5198.828391,1385.794163,7536.133412,5848.84483,945.7830045,5694.970611,8862.276379,329.6791238,5281.5636509999995,1277.354816,5591.135578,6571.702756000001
Algeria,Algiers,North,East,7456.896815000001,5704.149817,932.3905579,4339.752748,2285.897025,6626.090244,6739.0118090000005,346.5107264,4779.414037,9430.625168,1115.622926,6180.126784,1044.929886,4809.9730119999995,7456.896815000001
American Samoa,Pago Pago,South,West,17274.49986,4522.583406000001,10826.12876,6614.730929,12318.146190000001,4379.072411,16595.20251,10172.101929999999,5742.998762,17612.49192,11170.60374,16081.21676,10341.61512,6972.944914,17274.49986
Andorra,Andorra la Vella,North,East,7566.659669,5710.101626,689.6671018,4203.960189,2166.1158100000002,6552.808731,6843.529703,78.63586014,4716.8915,9726.649424,1252.1266679999999,6275.338342,628.9142562000001,5113.942627,7566.659669
Angola,Luanda,South,East,7549.71073,6419.958724,3909.100005,6111.341675,4606.135478,7751.422936,6949.376417,3494.223297,6071.374855,7738.665587,3228.9678089999998,6530.700463,4192.7491979999995,3231.823078,7549.71073
Antigua and Barbuda,West Indies,North,West,11055.47927,2058.682496,4524.417593,2098.780913,6006.97345,3310.0077100000003,10357.080090000001,3855.329918,1693.74307,12135.74144,4846.229317,9823.135527,4099.448352,2942.618984,11055.47927
Argentina,Buenos Aires,South,West,11979.01152,4384.369678,7015.770065000001,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431000001,11533.28485,6837.5604299999995,10951.963179999999,6877.436486,1303.080956,11979.01152
Armenia,Yerevan,North,East,5214.490326,7961.875734,1871.185441,6556.044561,1125.260362,8885.04204,4491.701293,2302.565068,7040.666552,7753.556298,1151.612601,3925.377452,2543.617705,6458.829748,5214.490326
Aruba,Oranjestad,North,West,11560.89616,1657.216431,5094.9917,2309.387607,6574.5079399999995,3029.820032,10867.65721,4422.596476,1673.937056,12492.5469,5393.397585,10339.75272,4674.559738,2838.717012,11560.89616
Australia,Canberra,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
Austria,Vienna,North,East,6793.721355,6605.111663000001,253.3477585,5014.993429,1259.691378,7405.4282840000005,6067.3108600000005,896.7318071000001,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.695629999999,6793.721355
Azerbaijan,Baku,North,East,4929.188187,8246.251439,2143.2801010000003,6841.54925,1240.420589,9171.991444,4205.953165999999,2588.6069629999997,7327.578348999999,7549.013006,1437.275639,3638.902247,2814.342634,6682.150324,4929.188187
Bahamas,Nassau,North,West,11862.7069,1262.03307,5102.498263,1413.853863,6596.803801,2325.242769,11154.14467,4477.864708,717.2687331000001,13117.11126,5563.622291,10606.931559999999,4586.923845,3795.177807,11862.7069
Bahrain,Manama,North,East,4923.089199,8171.122054,2604.261993,7001.652212000001,2145.0362489999998,9218.61909,4231.809713000001,2831.7651739999997,7372.993288,6890.508290999999,1665.8447800000001,3715.8966969999997,3255.064613,6122.185202000001,4923.089199
Bangladesh,Dhaka,North,East,2826.058402,10343.1749,4621.903102,9181.486026,3636.897346,11407.659679999999,2198.2941379999997,4966.796205,9562.439857,5167.829565999999,3775.7000310000003,1800.8721420000002,5294.149168999999,7956.068501000001,2826.058402
Barbados,Bridgetown,North,West,10974.324040000001,2214.1250210000003,4565.033339,2408.837149,6033.8059490000005,3529.294983,10281.85817,3884.3684719999997,1979.0667640000001,11941.095959999999,4825.2882549999995,9755.197873000001,4177.685866,2632.9035120000003,10974.324040000001
Belarus,Minsk,North,East,6256.598253,7296.41535,935.1490671,5643.8967729999995,564.6581813999999,8059.243893000001,5530.60053,1607.224845,6248.983632,9062.64947,1119.665581,4948.72656,1500.729049,6528.100653,6256.598253
Belgium,Brussels,North,East,7465.484676000001,6040.287639,434.360945,4369.683402000001,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.87647180000005,5688.273316,7465.484676000001
Belize,Belmopan,North,West,12511.35927,605.9284502,5856.928924,2074.014048,7351.139356000001,2006.8105039999998,11810.04226,5214.479601,1163.090607,13543.338469999999,6262.340884,11271.88278,5364.662645,3704.550812,12511.35927
Benin,Porto Novo (constitutional) / Cotonou (seat of government),North,East,7763.417395,5614.771591,2934.720672,5047.258847,3895.04384,6861.9972099999995,7106.085243,2426.0784,5106.045022,8582.193148999999,2449.2698100000002,6624.162853,3116.888981,3199.8343670000004,7763.417395
Bhutan,Thimphu,North,East,2801.103952,10310.02743,4488.0636079999995,9097.090687,3444.1448969999997,11349.40629,2137.368893,4863.5097399999995,9502.059845,5402.908314,3672.0776960000003,1687.1537859999999,5160.776220000001,8027.471987000001,2801.103952
Bolivia,La Paz (administrative) / Sucre (legislative),South,West,11894.5974,2971.731738,6215.778227000001,4276.792572,7588.890901999999,4417.7502460000005,11248.390640000001,5523.672722,3559.466216,12036.237159999999,6225.909231000001,10772.9767,5961.212181,1437.763989,11894.5974
Bosnia and Herzegovina,Sarajevo,North,East,6649.933578,6623.939236,484.40396610000005,5124.939323,1328.1669029999998,7481.48977,5925.417198,890.7227565999999,5645.08647,9011.588987000001,498.5938086,5354.535514,1136.7012789999999,5679.777275,6649.933578
Botswana,Gaborone,South,East,7484.083301000001,7443.537087000001,5066.621043,7334.218684,5550.492087,8828.796325,6966.243251000001,4719.200094,7223.050339,6890.668014,4281.620211,6632.322276,5414.701940999999,3754.7079049999998,7484.083301000001
Brazil,Brasilia,South,West,10813.30687,3693.9012450000005,5448.606277000001,4476.475125999999,6740.5027709999995,5154.81836,10177.049309999999,4770.980821,3947.154167,10926.30828,5332.087331000001,9713.367679,5290.5626600000005,566.3305178999999,10813.30687
British Virgin Islands,Road Town,North,West,11204.07871,1897.3434559999998,4630.807214,1975.8818760000001,6117.787041,3136.3651649999997,10503.9835,3967.89839,1528.309672,12308.19981,4977.173495,9967.860865,4188.829532,3068.1460469999997,11204.07871
Brunei Darussalam,Bandar Seri Begawan,North,East,2536.551181,11733.66242,6398.777846,10782.48574,5506.75604,12896.878359999999,2348.0225530000002,6665.138457999999,11071.9407,3305.376553,5494.037074,2417.9578690000003,7064.396452,8841.046999,2536.551181
Bulgaria,Sofia,North,East,6375.306752,6867.5827420000005,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345000001,8751.145986,336.32973010000006,5081.741124,1410.485748,5785.377927,6375.306752
Burkina Faso,Ouagadougou,North,West,7865.265069,5361.9914229999995,2580.966157,4662.560237,3657.82383,6561.301525,7190.5941459999995,2026.4363309999999,4775.2556030000005,8911.943291,2215.059729,6688.273963000001,2706.3507170000003,3328.438176,7865.265069
Burundi,Bujumbura,South,East,6600.237275,7172.0013930000005,3667.822271,6632.046386999999,4068.6180799999997,8448.69995,6002.730664,3409.4052810000003,6703.549279999999,6991.675681000001,2828.355902,5591.0218859999995,4086.419346,4178.760182,6600.237275
Cambodia,Phnom Penh,North,East,2550.724265,11129.81526,5673.689582,10110.56945,4765.506935,12262.22787,2157.861883,5959.787053,10428.76996,4028.806296,4781.144215,2049.292791,6341.545849,8401.794054,2550.724265
Cameroon,Yaounde,North,East,7348.660545000001,6127.096654999999,3080.1856,5560.694684,3855.4199329999997,7382.937537000001,6706.052031,2662.0235079999998,5628.709011999999,8059.947265000001,2442.7115440000002,6241.863267000001,3360.488213,3490.276702,7348.660545000001
Canada,Ottawa,North,West,11761.45096,2215.2769989999997,4754.326022,17.85869536,6197.178624,2462.817034,11038.504659999999,4244.864847999999,933.6493083999999,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096
Cape Verde,Praia,North,West,9012.706920999999,4146.538949,2976.197282,3543.39349,4331.592557999999,5345.325957999999,8324.575388,2291.442646,3575.095678,10109.84624,2992.0868920000003,7804.625975,2811.478024,2832.288311,9012.706920999999
Cayman Islands,George Town,North,West,12114.08146,975.1560000000001,5447.181845,1840.917463,6941.3296900000005,2265.196606,11411.22871,4804.6756350000005,1018.575556,13209.46724,5855.60639,10871.28634,4957.357865,3572.551283,12114.08146
Central African Republic,Bangui,North,East,6969.4319049999995,6495.426349,3052.2553390000003,5865.637971,3683.290245,7736.447836,6330.782294,2711.963523,5967.959213,7715.82105,2318.0025170000004,5872.20917,3403.617254,3845.7356549999995,6969.4319049999995
Chad,N'Djamena,North,East,7019.440662000001,6226.775688000001,2492.184765,5435.486260000001,3239.023259,7408.972873999999,6353.063864,2131.746802,5606.971801,8105.835186,1823.604771,5862.31067,2824.412639,3972.5755670000003,7019.440662000001
Chile,Santiago,South,West,12415.56917,3943.1054729999996,7180.963618000001,5440.38823,8488.879813,5327.327679,11801.49769,6497.463882999999,4684.999750999999,12099.98408,7081.0866510000005,11359.06185,6987.801141,1648.784529,12415.56917
China,Beijing,North,East,1307.919095,11838.94405,5742.91982,10478.687670000001,4442.798842,12806.04837,583.2324219,6227.3323359999995,10959.52333,5414.624777,5065.428159,0.0,6399.345926,9710.393207,1307.919095
Colombia,Bogota,North,West,11864.03068,1711.573173,5564.846725,2841.333395,7028.4927769999995,3168.141186,11181.17542,4881.775916,2107.092876,12575.93558,5794.551013,10665.316920000001,5179.650627,2523.667877,11864.03068
Comros,Moroni,South,East,6189.380911,8049.251554,4455.434924,7578.859806,4623.545432,9353.817849,5657.036885,4275.133309000001,7629.279462,6099.859622,3546.658953,5316.305878,4931.414264999999,4780.055691,6189.380911
Congo,Brazzaville,South,East,7332.2061269999995,6440.133211,3609.049415,6018.901454999999,4283.807735,7742.430874,6718.850873,3216.791121,6028.040661999999,7709.39839,2911.065771,6286.977997,3914.678745,3437.3636979999997,7332.2061269999995
Costa Rica,San Jose,North,West,12344.75496,1058.9103300000002,5859.685913,2523.091473,7344.727848,2519.673322,11652.89483,5193.536804,1669.922202,13188.36147,6178.902752,11126.265609999999,5416.884059,3160.880263,12344.75496
Cote d'Ivoire,Yamoussoukro,North,West,8159.657354000001,5203.020638,3015.860661,4692.579355,4099.060246999999,6459.86403,7497.111465000001,2441.220472,4716.685728,8981.020009,2654.338699,7008.430955,3108.6252719999998,2901.725866,8159.657354000001
Croatia,Zagreb,North,East,6808.024556,6519.192357,284.3955443,4976.79,1372.669191,7349.161408,6082.540204999999,785.1876379,5518.245309,9210.445178,695.52407,5509.170636,944.3405011,5707.083121,6808.024556
Cuba,Havana,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534000001,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.173190000001,4892.460575,3823.071369,12145.25931
Cyprus,Nicosia,North,East,5809.577843,7309.116542,1486.434561,5984.7495850000005,1421.8827390000001,8271.671294,5093.733042,1751.5892989999998,6423.8194060000005,8008.055270000001,561.2563154000001,4539.466353,2136.475573,5782.002294,5809.577843
Czech Republic,Prague,North,East,6919.8831390000005,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297000001,5615.044697,784.3676487,5929.78558,6919.8831390000005
Democratic Republic of the Congo,Kinshasa,South,East,7333.531772,6443.617071,3616.7164549999998,6024.566229999999,4290.624211,7746.553994,6720.5995299999995,3224.55554,6032.807654,7705.799718000001,2918.307461,6289.179747,3922.44348,3436.021442,7333.531772
Denmark,Copenhagen,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.5487890000002,7280.410025,6357.022542000001,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
Djibouti,Djibouti,North,East,5584.9583840000005,7735.297672,3055.1684219999997,6854.818902,3072.9611579999996,8902.248232,4945.827852,3025.049685,7086.606259,6711.577578,2095.318275,4492.640358,3611.9491390000003,5217.976915,5584.9583840000005
Dominica,Roseau,North,West,11059.24783,2085.499923,4579.764833,2232.309212,6057.2235630000005,3373.051921,10363.508440000001,3905.4293549999998,1798.872625,12083.81185,4875.625658,9832.832161,4169.811971,2808.587997,11059.24783
Dominica Republic,Santo Domingo,North,West,11487.2721,1612.4422730000001,4886.808196,1904.989689,6376.817129,2870.0003699999997,10786.56445,4229.632888,1337.705457,12581.6325,5251.812676,10249.55334,4429.438768999999,3188.468904,11487.2721
East Timor,Dili,South,East,3133.467594,12398.19637,7328.965676999999,11578.488959999999,6511.743856,13614.42949,3147.0821140000003,7546.389405,11810.82995,2261.9973649999997,6398.138385,3338.144212,7986.367317,9253.612281,3133.467594
Ecuador,Quito,South,West,12156.840329999999,1751.0571739999998,5933.981684,3153.5051320000002,7390.888545000001,3211.279169,11479.5843,5248.210075999999,2362.2333280000003,12748.097670000001,6138.247458,10969.949120000001,5559.62504,2481.1009649999996,12156.840329999999
Egypt,Cairo,North,East,5937.549254,7150.115523,1644.840016,5923.588067000001,1787.8071710000002,8160.910325,5230.96362,1765.939261,6313.214457,7899.797320000001,669.8243057,4690.69353,2251.730749,5458.498004,5937.549254
El Salvador,San Salvador,North,West,12584.00603,676.9608850999999,5997.025337,2334.848141,7489.05705,2135.79459,11886.80531,5344.497713000001,1427.505367,13520.241469999999,6368.217014,11353.67249,5522.746265999999,3544.8454899999997,12584.00603
Equatorial Guinea,Malabo,North,East,7498.167189,5974.628068999999,3088.192207,5430.336096,3918.549546,7234.947499,6853.331776000001,2640.5762210000003,5485.810867,8206.446926,2492.603474,6386.229104999999,3338.5891890000003,3356.671986,7498.167189
Eritrea,Asmara,North,East,5698.238423,7520.781444,2708.77619,6572.56989,2778.712564,8659.07919,5038.790224,2685.836782,6833.594754000001,7021.173487999999,1750.880118,4560.723013000001,3266.569667,5178.781122,5698.238423
Estonia,Tallinn,North,East,6494.667894,7290.647701999999,1039.512225,5544.152061,749.304823,7983.700543000001,5771.79885,1731.2987100000003,6198.6519880000005,9441.214208,1494.198241,5188.569733,1444.9771460000002,6764.4582040000005,6494.667894
Ethiopia,Addis Ababa,North,East,5825.236731,7541.375715000001,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.3067579999997,6919.135525,6832.509437000001,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731
Falkland Islands (Malvinas),Stanley,South,West,12423.73319,5329.457106,7889.179068,6743.3555989999995,9073.301085,6711.636248000001,11858.06983,7234.205290000001,6030.34979,11568.71919,7630.026309999999,11463.981590000001,7798.3463329999995,2158.787984,12423.73319
Faroe Islands,Torshavn,North,West,8187.797761,5854.177553,1379.194026,3937.1902240000004,2440.35413,6396.476433,7462.933948999999,1503.119137,4676.691194,10863.21512,2353.171997,6880.144615,818.7859128,6193.664747999999,8187.797761
Fiji,Suva,South,East,4266.501242,15362.690519999998,10184.68476,14538.553280000002,9217.023731000001,16585.51985,4753.4847469999995,10455.03202,14781.67356,1837.884441,9285.134856,5224.740735,10852.225559999999,12096.891790000001,4266.501242
Finland,Helsinki,North,East,6482.014653,7342.902147,1107.2607699999999,5585.00046,746.7650967000001,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.6725609999999,6834.621887,6482.014653
France,Paris,North,East,7556.722473000001,5888.888745,512.7500361000001,4251.2845259999995,1978.1957579999998,6651.180372999999,6830.559026999999,490.59273449999995,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473000001
French Guiana,Cayenne,North,West,10685.02287,2741.576648,4578.143679,3069.35322,5999.129117,4124.749140999999,10006.64479,3885.031692,2648.489039,11425.18777,4700.482095,9496.741814,4279.24404,1990.9740940000002,10685.02287
French Polynesia,Papeete,South,West,16194.96728,3723.229467,9877.268828,5915.615446,11360.90057,3929.336881,15523.29693,9209.112527,4997.791857,16447.5366,10164.91296,15018.01335,9426.790475,5807.520737,16194.96728
Gabon,Libreville,North,East,7527.334088,6059.219306,3306.8370449999998,5585.808509,4106.000009,7341.773566,6893.160223999999,2864.934178,5611.485265,8100.149353,2689.927916,6437.883997999999,3563.0369560000004,3278.514477,7527.334088
Gambia,Banjul,North,West,8659.382349,4533.858587,2849.4828039999998,3921.7133369999997,4132.709309000001,5742.179159,7976.572295999999,2188.617644,3971.8746539999997,9712.587106,2747.334768,7463.420684999999,2775.030179,2893.4332010000003,8659.382349
Georgia,T'bilisi,North,East,5210.317620000001,7989.188837999999,1856.103859,6561.834163,1043.181871,8900.183337999999,4486.216107,2311.2196480000002,7057.317445000001,7806.525428,1179.0990630000001,3916.968587,2527.087975,6528.559336,5210.317620000001
Germany,Berlin,North,East,6996.0687849999995,6545.682422999999,301.17456519999996,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867000001,6034.938596,6996.0687849999995
Ghana,Accra,North,West,7910.031781999999,5491.377936,3020.1376579999996,4967.161993,4015.2602880000004,6749.666377,7253.524372,2489.739004,5004.0680729999995,8691.383115999999,2568.023923,6772.2352359999995,3174.690047,3056.577938,7910.031781999999
Greece,Athens,North,East,6345.328465,6810.8918650000005,975.5308696000001,5434.583731000001,1447.5926359999999,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0.0,5065.428159,1597.4372369999999,5536.760728,6345.328465
Greenland,Nuuk,North,West,10611.36846,4049.1301200000003,3608.140013,1842.7938190000002,4879.659070000001,4199.728075999999,9884.985370999999,3315.820222,2764.022882,12962.07155,4475.782655,9303.74004,2935.683131,6020.279909000001,10611.36846
Guadeloupe,Basse-Terre,North,West,11063.16747,2068.056848,4562.162173,2176.802567,6041.860657,3342.017855,10366.33598,3889.942665,1752.197759,12109.86415,4868.820355,9834.320355,4145.8428109999995,2864.1207,11063.16747
Guatemala,Guatemala,North,West,12636.49891,587.1720558,6026.13806,2290.133363,7519.207642,2044.2354940000002,11938.036,5377.277959,1372.571263,13596.3332,6409.687943999999,11403.34737,5544.585621,3636.8784990000004,12636.49891
Guernsey,St. Peter Port,North,West,7808.532828,5676.172084000001,763.4076124,4007.311108,2208.22701,6415.114632,7082.280617,596.0285823,4606.514064,10157.79516,1622.451358,6506.326102,191.0321233,5456.189543,7808.532828
Guinea,Conakry,North,West,8557.421282,4724.0560270000005,3009.90998,4210.893433,4224.914289,5969.064555,7884.183361,2374.209041,4223.054725,9472.905399,2807.227857,7382.486195999999,2994.14757,2750.001134,8557.421282
Guinea-Bissau,Bissau,North,West,8631.915434999999,4598.488394,2930.383421,4036.714374,4186.680439,5824.948179,7953.216611,2278.886042,4066.4760149999997,9621.954306,2786.420927,7444.9963769999995,2879.300483,2812.7568109999997,8631.915434999999
Guyana,Georgetown,North,West,10984.347520000001,2402.986421,4768.416086,2854.689418,6211.255037,3793.25171,10301.9847,4078.2096549999997,2364.884148,11763.96078,4943.629178,9787.253936,4431.023988,2187.307618,10984.347520000001
Haiti,Port-au-Prince,North,West,11628.299420000001,1469.776931,5013.579143,1878.931278,6504.839848,2735.906801,10927.20055,4359.457308,1250.914654,12720.20132,5388.092942,10389.64219,4548.731818,3261.4519179999998,11628.299420000001
Heard Island and McDonald Islands,,South,East,7091.526671,10683.84981,7766.405804999999,10624.71147,7745.992415000001,12093.37998,6859.084748,7602.594126999999,10517.54405,4417.483517000001,6832.093526000001,6788.912017000001,8258.268396,6725.951523999999,7091.526671
Honduras,Tegucigalpa,North,West,12472.35214,743.4403262999999,5881.003253,2260.1304579999996,7373.022858,2188.1059760000003,11774.637359999999,5228.507109,1367.567736,13427.38483,6253.207328,11240.92197,5407.272235,3502.482297,12472.35214
Hungary,Budapest,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.5541900000001,5724.574890999999,9134.012281,711.9441677,5331.207495000001,1080.0104019999999,5916.371169,6633.310595
Iceland,Reykjavik,North,West,9018.393459,5245.729781,2118.677261,3215.6147339999998,3271.92983,5670.837692,8293.256423,2033.6180739999998,4018.7276770000003,11605.731759999999,3064.8591530000003,7710.615495,1467.43064,6118.429833,9018.393459
India,New Delhi,North,East,3450.654954,9642.938962,3830.1835979999996,8420.785316,2865.1176,10674.39927,2765.282337,4190.2541009999995,8826.80147,5899.440122999999,2998.497325,2268.4190350000003,4502.711561,7460.785766,3450.654954
Indonesia,Jakarta,South,East,3406.2489689999998,11355.183490000001,6387.855745000001,10554.00055,5678.433253,12574.16717,3189.364766,6566.579415,10773.739459999999,3108.0826399999996,5439.401129999999,3194.294807,7035.269184999999,8248.577302,3406.2489689999998
Iran (Islamic Republic of),Tehran,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.9469070000005,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424
Iraq,Baghdad,North,East,5208.9215189999995,7889.006181000001,2062.594838,6599.6995289999995,1581.4518779999999,8874.877798,4497.070649,2368.695886,7026.576483,7449.209244,1177.31534,3950.115184,2726.503241,6148.0132539999995,5208.9215189999995
Ireland,Dublin,North,West,8052.048537000001,5591.3584630000005,1029.328577,3827.483511,2380.1236949999998,6261.276638,7325.311381999999,933.5597391000001,4477.958742,10484.38373,1943.4083030000002,6746.474883,356.68401439999997,5627.79411,8052.048537000001
Israel,Jerusalem,North,West,9545.281423999999,3599.434447,2789.4841969999998,2405.821572,4281.513384000001,4542.3145159999995,8831.816724,2141.753037,2694.912581,11133.556990000001,3222.927642,8278.673099,2345.355354,3794.4499520000004,9545.281423999999
Italy,Rome,North,East,6965.601489,6274.19585,457.0470028,4804.9314030000005,1671.3395990000001,7145.651673,6242.692758,552.6489257999999,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
Jamaica,Kingston,North,West,11864.67244,1236.7348630000001,5239.568929999999,1898.1793,6731.907690999999,2533.832026,11163.596440000001,4588.574071999999,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959000001,3358.5533990000004,11864.67244
Jordan,Amman,North,East,5692.566275,7399.643094,1736.5991589999999,6141.197590999999,1650.746742,8397.039775,4983.271943,1942.89163,6548.81373,7764.589258,778.1763545,4439.407064,2374.122032,5708.8240479999995,5692.566275
Kazakhstan,Astana,North,East,3880.61924,9560.663155,3267.102191,8028.405934,1877.813221,10415.53814,3160.551383,3833.4999350000003,8584.557448,7308.24655,2773.651643,2577.824213,3895.751307,8071.032012999999,3880.61924
Kenya,Nairobi,South,East,6180.346418,7534.91925,3663.960524,6913.678379999999,3907.0687740000003,8790.313581999999,5586.393433,3483.2750100000003,7025.59752,6658.2143240000005,2766.641737,5180.772477,4137.111253,4600.32871,6180.346418
