Country Code,Male,Female,Total,Year
HTI,7,1,8,2004
HUN,119,90,209,2004
IDN,22,16,38,2004
IND,48,25,73,2004
IRL,32,14,46,2004
IRN,36,1,37,2004
IRQ,23,1,24,2004
ISL,21,5,26,2004
ISR,20,16,36,2004
ITA,229,135,364,2004
JAM,22,25,47,2004
JOR,4,4,8,2004
JPN,139,167,306,2004
KAZ,71,43,114,2004
KEN,22,24,46,2004
KGZ,22,7,29,2004
KIR,2,1,3,2004
KNA,1,1,2,2004
KOR,145,119,264,2004
KWT,10,1,11,2004
LAO,3,2,5,2004
LBN,3,2,5,2004
LBR,1,1,2,2004
LBY,6,2,8,2004
LCA,1,1,2,2004
LIE,1,0,1,2004
LKA,4,3,7,2004
LSO,1,2,3,2004
LTU,47,12,59,2004
LUX,6,4,10,2004
LVA,22,10,32,2004
MAR,47,8,55,2004
MDA,26,7,33,2004
MDG,3,5,8,2004
MDV,2,2,4,2004
MEX,59,50,109,2004
MKD,7,3,10,2004
MLI,19,2,21,2004
MLT,4,3,7,2004
MMR,3,4,7,2004
MNG,15,8,23,2004
MOZ,2,2,4,2004
MRT,1,1,2,2004
MUS,6,3,9,2004
MWI,2,2,4,2004
MYS,18,8,26,2004
NAM,7,1,8,2004
NER,3,1,4,2004
NGA,24,46,70,2004
NIC,2,3,5,2004
NLD,134,76,210,2004
NOR,35,17,52,2004
NPL,3,3,6,2004
NRU,2,1,3,2004
NZL,81,67,148,2004
OMN,2,0,2,2004
PAK,24,2,26,2004
PAN,3,1,4,2004
PER,7,5,12,2004
PHL,12,4,16,2004
PLW,2,2,4,2004
PNG,2,2,4,2004
POL,132,62,194,2004
PRI,32,11,43,2004
PRK,13,23,36,2004
PRT,64,17,81,2004
PRY,20,2,22,2004
QAT,15,0,15,2004
ROU,50,58,108,2004
RUS,244,202,446,2004
RWA,3,2,5,2004
SAU,16,0,16,2004
SDN,69,41,110,2004
SEN,6,9,15,2004
SGP,6,10,16,2004
SLB,1,1,2,2004
SLE,1,1,2,2004
SLV,2,5,7,2004
SMR,4,1,5,2004
SOM,1,1,2,2004
SRB,78,7,85,2004
STP,1,1,2,2004
SUR,2,2,4,2004
SVK,48,16,64,2004
SVN,56,23,79,2004
SWE,62,53,115,2004
SWZ,2,1,3,2004
SYC,7,2,9,2004
SYR,5,1,6,2004
TCD,3,2,5,2004
TGO,2,1,3,2004
THA,24,18,42,2004
TJK,5,4,9,2004
TKM,6,3,9,2004
TLS,1,1,2,2004
TON,4,1,5,2004
TTO,10,9,19,2004
TUN,44,10,54,2004
TUR,44,20,64,2004
TWN,49,39,88,2004
TZA,6,2,8,2004
UGA,9,2,11,2004
UKR,124,115,239,2004
URY,13,2,15,2004
USA,279,254,533,2004
UZB,51,18,69,2004
VCT,2,1,3,2004
VEN,33,15,48,2004
VGB,1,0,1,2004
VIR,5,1,6,2004
VNM,6,5,11,2004
VUT,1,1,2,2004
WSM,2,1,3,2004
YEM,3,0,3,2004
ZMB,4,2,6,2004
ZWE,9,3,12,2004
ABW,2,0,2,2008
AFG,3,1,4,2008
AGO,17,15,32,2008
ALB,7,4,11,2008
AND,3,2,5,2008
ARE,6,2,8,2008
ARG,79,53,132,2008
ARM,23,2,25,2008
ASM,2,2,4,2008
ATG,7,1,8,2008
AUS,233,199,432,2008
AUT,40,30,70,2008
AZE,30,14,44,2008
BDI,1,2,3,2008
BEL,77,17,94,2008
BEN,3,2,5,2008
BGD,3,2,5,2008
BGR,45,29,74,2008
BHS,16,9,25,2008
BIH,4,1,5,2008
BLR,93,84,177,2008
BLZ,3,1,4,2008
BMU,2,4,6,2008
BOL,4,3,7,2008
BRA,139,129,268,2008
BRB,7,1,8,2008
BRN,11,3,14,2008
BTN,1,1,2,2008
BWA,9,2,11,2008
CAF,2,1,3,2008
CAN,186,146,332,2008
CHE,47,36,83,2008
CHN,330,295,625,2008
CIV,19,2,21,2008
CMR,27,9,36,2008
COD,4,1,5,2008
COG,3,2,5,2008
COK,3,1,4,2008
COL,43,24,67,2008
COM,2,1,3,2008
CPV,1,1,2,2008
CRI,6,2,8,2008
CUB,102,56,158,2008
CYM,3,1,4,2008
CYP,7,10,17,2008
CZE,75,59,134,2008
DEU,237,183,420,2008
DJI,1,1,2,2008
DMA,2,0,2,2008
DNK,71,22,93,2008
DOM,18,6,24,2008
DZA,34,22,56,2008
ECU,17,8,25,2008
EGY,74,26,100,2008
ERI,8,2,10,2008
ESP,163,120,283,2008
EST,34,13,47,2008
ETH,14,13,27,2008
FIN,31,26,57,2008
FJI,4,2,6,2008
FRA,188,121,309,2008
FSM,3,2,5,2008
GAB,2,2,4,2008
GBR,163,141,304,2008
GEO,27,8,35,2008
GHA,8,1,9,2008
GIN,2,3,5,2008
GMB,2,1,3,2008
GNB,2,1,3,2008
GNQ,2,1,3,2008
GRC,82,70,152,2008
GRD,4,5,9,2008
GTM,9,3,12,2008
GUY,2,2,4,2008
HKG,17,17,34,2008
HND,23,2,25,2008
HRV,80,19,99,2008
HTI,3,4,7,2008
HUN,88,83,171,2008
IDN,15,9,24,2008
IND,31,22,53,2008
IRL,39,16,55,2008
IRN,51,3,54,2008
IRQ,3,1,4,2008
ISL,20,7,27,2008
ISR,23,20,43,2008
ITA,203,130,333,2008
JAM,23,27,50,2008
JOR,3,4,7,2008
JPN,167,165,332,2008
KAZ,60,70,130,2008
KEN,28,18,46,2008
KGZ,16,4,20,2008
KIR,2,0,2,2008
KNA,1,3,4,2008
KOR,159,106,265,2008
KWT,8,0,8,2008
LAO,2,2,4,2008
LBN,4,2,6,2008
LBR,2,1,3,2008
LBY,4,2,6,2008
LCA,1,3,4,2008
LIE,2,0,2,2008
LKA,4,4,8,2008
LSO,4,1,5,2008
LTU,44,27,71,2008
LUX,9,4,13,2008
LVA,29,18,47,2008
MAR,36,11,47,2008
MDA,21,8,29,2008
MDG,4,2,6,2008
MDV,2,2,4,2008
MEX,43,40,83,2008
MHL,3,2,5,2008
MKD,5,2,7,2008
MLI,3,14,17,2008
MLT,3,3,6,2008
MMR,7,5,12,2008
MNE,17,2,19,2008
MNG,18,15,33,2008
MOZ,2,2,4,2008
MRT,1,1,2,2008
MUS,6,5,11,2008
MWI,2,2,4,2008
MYS,18,14,32,2008
NAM,6,4,10,2008
NER,2,2,4,2008
NGA,37,37,74,2008
NIC,3,3,6,2008
NLD,139,98,237,2008
NOR,30,54,84,2008
NPL,4,4,8,2008
NRU,1,0,1,2008
NZL,96,82,178,2008
OMN,3,1,4,2008
PAK,19,2,21,2008
PAN,3,2,5,2008
PER,7,6,13,2008
PHL,10,5,15,2008
PLW,3,2,5,2008
PNG,3,4,7,2008
POL,156,101,257,2008
PRI,17,5,22,2008
PRK,21,37,58,2008
PRT,51,26,77,2008
PRY,3,4,7,2008
QAT,20,0,20,2008
ROU,40,61,101,2008
RUS,231,223,454,2008
RWA,2,2,4,2008
SAU,14,0,14,2008
SDN,5,4,9,2008
SEN,8,7,15,2008
SGP,11,14,25,2008
SLB,1,2,3,2008
SLE,2,1,3,2008
SLV,4,7,11,2008
SMR,2,2,4,2008
SOM,1,1,2,2008
SRB,63,24,87,2008
STP,2,1,3,2008
SUR,2,2,4,2008
SVK,35,22,57,2008
SVN,40,21,61,2008
SWE,50,73,123,2008
SWZ,2,2,4,2008
SYC,6,3,9,2008
SYR,6,1,7,2008
TCD,5,3,8,2008
TGO,3,1,4,2008
THA,22,25,47,2008
TJK,12,3,15,2008
TKM,6,4,10,2008
TLS,0,1,1,2008
TON,2,1,3,2008
TTO,17,11,28,2008
TUN,14,12,26,2008
TUR,48,19,67,2008
TUV,2,1,3,2008
TWN,43,36,79,2008
UGA,9,2,11,2008
UKR,127,116,243,2008
URY,9,3,12,2008
USA,306,282,588,2008
UZB,41,15,56,2008
VCT,1,1,2,2008
VEN,57,51,108,2008
VGB,1,1,2,2008
VIR,6,1,7,2008
VNM,7,6,13,2008
VUT,1,2,3,2008
WSM,4,2,6,2008
YEM,4,1,5,2008
ZAF,75,59,134,2008
ZMB,6,2,8,2008
ZWE,8,5,13,2008
ABW,3,1,4,2012
AFG,5,1,6,2012
AGO,4,29,33,2012
ALB,6,3,9,2012
AND,4,2,6,2012
ARE,24,2,26,2012
ARG,97,40,137,2012
ARM,20,4,24,2012
ASM,3,1,4,2012
ATG,2,2,4,2012
AUS,221,184,405,2012
AUT,39,31,70,2012
AZE,38,14,52,2012
BDI,2,4,6,2012
BEL,71,43,114,2012
BEN,4,1,5,2012
BFA,2,3,5,2012
BGD,4,1,5,2012
BGR,40,28,68,2012
BHS,12,9,21,2012
BIH,4,2,6,2012
BLR,89,71,160,2012
BLZ,2,1,3,2012
BMU,5,3,8,2012
BOL,3,2,5,2012
BRA,131,117,248,2012
BRB,6,0,6,2012
BRN,4,8,12,2012
BTN,0,2,2,2012
BWA,3,1,4,2012
CAF,3,3,6,2012
CAN,119,154,273,2012
CHE,70,28,98,2012
CHN,181,230,411,2012
CIV,4,5,9,2012
CMR,13,25,38,2012
COD,3,1,4,2012
COG,4,3,7,2012
COK,3,5,8,2012
COL,45,56,101,2012
COM,1,2,3,2012
CPV,1,2,3,2012
CRI,8,3,11,2012
CUB,65,44,109,2012
CYM,4,0,4,2012
CYP,9,4,13,2012
CZE,68,65,133,2012
DEU,212,171,383,2012
DJI,2,2,4,2012
DMA,1,1,2,2012
DNK,70,50,120,2012
DOM,13,20,33,2012
DZA,21,17,38,2012
ECU,23,13,36,2012
EGY,75,34,109,2012
ERI,11,1,12,2012
ESP,168,110,278,2012
EST,23,9,32,2012
ETH,18,15,33,2012
FIN,29,27,56,2012
FJI,6,3,9,2012
FRA,182,142,324,2012
FSM,4,2,6,2012
GAB,19,2,21,2012
GBR,273,257,530,2012
GEO,28,6,34,2012
GHA,5,2,7,2012
GIN,2,2,4,2012
GMB,1,1,2,2012
GNB,2,2,4,2012
GNQ,1,1,2,2012
GRC,65,37,102,2012
GRD,5,3,8,2012
GTM,12,7,19,2012
GUY,4,2,6,2012
HKG,21,20,41,2012
HND,22,3,25,2012
HRV,64,43,107,2012
HTI,3,2,5,2012
HUN,93,59,152,2012
IDN,13,9,22,2012
IND,58,23,81,2012
IRL,36,28,64,2012
IRN,44,8,52,2012
IRQ,5,3,8,2012
ISL,21,6,27,2012
ISR,19,18,37,2012
ITA,158,123,281,2012
JAM,23,22,45,2012
JOR,5,4,9,2012
JPN,136,155,291,2012
KAZ,73,40,113,2012
KEN,27,20,47,2012
KGZ,11,3,14,2012
KIR,2,1,3,2012
KNA,4,0,4,2012
KOR,135,115,250,2012
KWT,8,2,10,2012
LAO,2,1,3,2012
LBN,3,7,10,2012
LBR,1,2,3,2012
LBY,3,1,4,2012
LCA,1,3,4,2012
LIE,1,2,3,2012
LKA,4,3,7,2012
LSO,2,2,4,2012
LTU,39,23,62,2012
LUX,5,4,9,2012
LVA,31,14,45,2012
MAR,46,17,63,2012
MDA,12,8,20,2012
MDG,3,4,7,2012
MDV,3,2,5,2012
MEX,62,37,99,2012
MHL,2,2,4,2012
MKD,2,2,4,2012
MLI,4,2,6,2012
MLT,3,2,5,2012
MMR,3,3,6,2012
MNE,18,15,33,2012
MNG,21,14,35,2012
MOZ,4,2,6,2012
MRT,1,1,2,2012
MUS,4,7,11,2012
MWI,1,2,3,2012
MYS,16,13,29,2012
NAM,5,4,9,2012
NER,4,2,6,2012
NGA,30,19,49,2012
NIC,3,3,6,2012
NLD,94,79,173,2012
NOR,33,28,61,2012
NPL,2,3,5,2012
NRU,2,0,2,2012
NZL,96,82,178,2012
OMN,2,1,3,2012
PAK,19,2,21,2012
PAN,6,2,8,2012
PER,9,7,16,2012
PHL,7,4,11,2012
PLW,2,3,5,2012
PNG,4,4,8,2012
POL,124,86,210,2012
PRI,19,6,25,2012
PRK,15,37,52,2012
PRT,44,32,76,2012
PRY,4,4,8,2012
QAT,8,4,12,2012
ROU,55,50,105,2012
RUS,203,226,429,2012
RWA,5,2,7,2012
SAU,16,2,18,2012
SDN,72,58,130,2012
SEN,24,7,31,2012
SGP,8,15,23,2012
SLB,2,2,4,2012
SLE,1,1,2,2012
SLV,5,5,10,2012
SMR,1,3,4,2012
SOM,1,1,2,2012
SRB,80,36,116,2012
STP,1,1,2,2012
SUR,3,2,5,2012
SVK,26,21,47,2012
SVN,28,37,65,2012
SWE,55,78,133,2012
SWZ,2,1,3,2012
SYC,4,2,6,2012
SYR,6,4,10,2012
TCD,5,5,10,2012
TGO,4,2,6,2012
THA,19,18,37,2012
TJK,13,3,16,2012
TKM,7,3,10,2012
TLS,1,1,2,2012
TON,2,1,3,2012
TTO,18,7,25,2012
TUN,63,20,83,2012
TUR,48,64,112,2012
TUV,2,1,3,2012
TWN,19,25,44,2012
UGA,11,4,15,2012
UKR,119,111,230,2012
URY,24,3,27,2012
USA,262,268,530,2012
UZB,36,17,53,2012
VCT,2,1,3,2012
VEN,42,26,68,2012
VGB,1,1,2,2012
VIR,4,3,7,2012
VNM,6,12,18,2012
VUT,3,2,5,2012
WSM,5,3,8,2012
YEM,3,1,4,2012
ZMB,5,2,7,2012
ZWE,4,3,7,2012
ABW,3,4,7,2016
AFG,2,1,3,2016
AGO,8,18,26,2016
ALB,3,3,6,2016
AND,2,2,4,2016
ARE,9,3,12,2016
ARG,140,75,215,2016
ARM,24,7,31,2016
ASM,3,1,4,2016
ATG,6,2,8,2016
AUS,208,212,420,2016
AUT,37,34,71,2016
AZE,42,14,56,2016
BDI,5,4,9,2016
BEL,72,35,107,2016
BEN,4,2,6,2016
BGD,4,3,7,2016
BGR,33,23,56,2016
BHS,17,12,29,2016
BIH,7,4,11,2016
BLR,53,67,120,2016
BLZ,2,1,3,2016
BMU,4,4,8,2016
BOL,6,6,12,2016
BRA,255,207,462,2016
BRB,7,4,11,2016
BRN,20,13,33,2016
BTN,0,2,2,2016
BWA,9,3,12,2016
CAF,3,3,6,2016
CAN,127,183,310,2016
CHE,57,45,102,2016
CHN,176,258,434,2016
CIV,5,7,12,2016
CMR,7,21,28,2016
COD,2,2,4,2016
COG,7,3,10,2016
COK,4,5,9,2016
COL,73,70,143,2016
COM,2,2,4,2016
CPV,2,3,5,2016
CRI,6,5,11,2016
CUB,83,34,117,2016
CYM,3,2,5,2016
CYP,9,6,15,2016
CZE,62,42,104,2016
DEU,224,194,418,2016
DJI,6,1,7,2016
DMA,1,1,2,2016
DNK,83,43,126,2016
DOM,18,8,26,2016
DZA,54,10,64,2016
ECU,22,15,37,2016
EGY,84,37,121,2016
ERI,11,1,12,2016
ESP,164,143,307,2016
EST,28,18,46,2016
ETH,17,20,37,2016
FIN,26,28,54,2016
FJI,36,17,53,2016
FRA,225,167,392,2016
FSM,2,3,5,2016
GAB,4,2,6,2016
GBR,201,159,360,2016
GEO,30,10,40,2016
GHA,7,6,13,2016
GIN,2,3,5,2016
GMB,3,1,4,2016
GNB,3,2,5,2016
GNQ,1,0,1,2016
GRC,56,36,92,2016
GRD,5,2,7,2016
GTM,15,6,21,2016
GUY,3,3,6,2016
HKG,15,22,37,2016
HND,22,1,23,2016
HRV,66,19,85,2016
HTI,7,3,10,2016
HUN,88,66,154,2016
IDN,17,11,28,2016
IND,61,51,112,2016
IRL,50,26,76,2016
IRN,54,9,63,2016
IRQ,20,0,20,2016
ISL,3,5,8,2016
ISR,22,25,47,2016
ITA,168,141,309,2016
JAM,25,31,56,2016
JOR,7,1,8,2016
JPN,171,164,335,2016
KAZ,55,46,101,2016
KEN,46,33,79,2016
KGZ,12,7,19,2016
KIR,2,1,3,2016
KNA,5,1,6,2016
KOR,103,104,207,2016
KOS,3,5,8,2016
LAO,4,2,6,2016
LBN,4,5,9,2016
LBR,1,1,2,2016
LBY,6,1,7,2016
LCA,2,3,5,2016
LIE,1,2,3,2016
LKA,7,2,9,2016
LSO,7,1,8,2016
LTU,48,19,67,2016
LUX,5,5,10,2016
LVA,19,13,32,2016
MAR,29,19,48,2016
MDA,14,9,23,2016
MDG,2,4,6,2016
MDV,2,2,4,2016
MEX,79,44,123,2016
MHL,2,3,5,2016
MKD,2,4,6,2016
MLI,4,2,6,2016
MLT,4,3,7,2016
MMR,7,5,12,2016
MNE,17,18,35,2016
MNG,29,17,46,2016
MOZ,5,1,6,2016
MRT,1,1,2,2016
MUS,5,6,11,2016
MWI,3,2,5,2016
MYS,17,15,32,2016
NAM,4,6,10,2016
NER,4,2,6,2016
NGA,47,24,71,2016
NIC,3,2,5,2016
NLD,105,132,237,2016
NOR,29,33,62,2016
NPL,3,4,7,2016
NRU,2,0,2,2016
NZL,98,97,195,2016
OMN,2,2,4,2016
PAK,4,3,7,2016
PAN,4,6,10,2016
PER,17,12,29,2016
PHL,7,6,13,2016
PLW,3,2,5,2016
PNG,6,2,8,2016
POL,139,95,234,2016
PRI,13,27,40,2016
PRK,11,20,31,2016
PRT,61,29,90,2016
PRY,6,5,11,2016
QAT,35,2,37,2016
ROU,34,61,95,2016
RUS,142,142,284,2016
RWA,4,3,7,2016
SAU,7,3,10,2016
SDN,97,44,141,2016
SEN,6,16,22,2016
SGP,9,16,25,2016
SLB,1,2,3,2016
SLE,2,2,4,2016
SLV,5,3,8,2016
SMR,2,2,4,2016
SOM,1,1,2,2016
SRB,58,45,103,2016
SSD,2,1,3,2016
STP,2,1,3,2016
SUR,4,2,6,2016
SVK,32,19,51,2016
SVN,39,24,63,2016
SWE,64,86,150,2016
SWZ,1,1,2,2016
SYC,8,2,10,2016
SYR,4,3,7,2016
TCD,4,3,7,2016
TGO,2,3,5,2016
THA,26,28,54,2016
TJK,5,2,7,2016
TKM,4,5,9,2016
TLS,1,2,3,2016
TON,4,3,7,2016
TTO,18,10,28,2016
TUN,41,20,61,2016
TUR,53,47,100,2016
TUV,1,0,1,2016
TWN,26,29,55,2016
UGA,14,7,21,2016
UKR,87,117,204,2016
URY,12,5,17,2016
USA,264,291,555,2016
UZB,47,23,70,2016
VCT,2,2,4,2016
VEN,61,24,85,2016
VGB,1,3,4,2016
VIR,5,2,7,2016
VNM,10,12,22,2016
VUT,4,0,4,2016
WSM,5,3,8,2016
YEM,2,1,3,2016
ZMB,5,2,7,2016
ZWE,9,21,30,2016
