,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
0,Netherlands,NLD,2,4,4,10,1964,Tokyo,JPN,18.699380731,North,East,12127120.0,73.70414634,4712.265299573333
2,Pakistan,PAK,0,1,0,1,1964,Tokyo,JPN,5.204955901,North,East,49627623.0,48.67,5320.200652933334
3,Brazil,BRA,0,0,1,1,1964,Tokyo,JPN,21.21189226,South,West,81064572.0,56.121,6524.317218993334
4,Italy,ITA,10,10,7,27,1964,Tokyo,JPN,63.175417019,North,East,51675350.0,70.31170732,4550.87002624
5,Sweden,SWE,2,2,4,8,1964,Tokyo,JPN,22.53241675,North,East,7661354.0,73.73317073,4888.82392808
6,Uruguay,URY,0,0,1,1,1964,Tokyo,JPN,1.975701816,South,West,2665383.0,68.455,7513.944150333335
7,Ireland,IRL,0,0,1,1,1964,Tokyo,JPN,2.766608946,North,West,2866550.0,70.40129268,4872.6161907666665
8,Japan,JPN,16,5,8,29,1964,Tokyo,JPN,81.749006382,North,East,96903000.0,70.13243902,6878.392655666668
9,Iran,IRN,0,0,2,2,1964,Tokyo,JPN,5.379845648,North,East,24307855.0,47.172,4946.229137266666
11,Switzerland,CHE,1,2,1,4,1964,Tokyo,JPN,14.480556572,North,East,5789228.0,72.07780488,4591.695619313333
12,India,IND,1,0,0,1,1964,Tokyo,JPN,56.480289941,North,East,488848139.0,43.873,5416.461758133333
13,Kenya,KEN,0,0,1,1,1964,Tokyo,JPN,0.9987593336,South,East,9222692.0,49.261,5507.264520666667
14,Philippines,PHL,0,1,0,1,1964,Tokyo,JPN,5.271404668,North,East,29958687.0,62.411,6570.342239333335
16,United States,USA,36,26,28,90,1964,Tokyo,JPN,685.8,North,West,191889000.0,70.16585366,6262.408512226667
19,Ghana,GHA,0,0,1,1,1964,Tokyo,JPN,1.731296119,North,West,7524470.0,47.469,5271.593968333334
20,Argentina,ARG,0,1,0,1,1964,Tokyo,JPN,25.605249382,South,West,21824427.0,65.426,7691.760326333334
21,New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN,7.274144351,South,East,2585400.0,71.32926829,10162.121673733332
23,Australia,AUS,6,2,10,18,1964,Tokyo,JPN,23.764139321,South,East,11167000.0,70.88097561,8930.279554713334
27,South Korea,KOR,0,2,1,3,1964,Tokyo,JPN,3.458939358,North,East,27984155.0,57.44092683,6422.407918860001
28,France,FRA,1,8,6,15,1964,Tokyo,JPN,94.007851047,North,East,49230585.0,70.66341463,4657.586983086667
29,Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,20.08,North,West,42771077.0,59.069,7089.6430021333335
30,Finland,FIN,3,0,2,5,1964,Tokyo,JPN,7.766655086,North,East,4548543.0,69.22097561,4940.61010778
31,Canada,CAN,1,2,1,4,1964,Tokyo,JPN,49.377522897,North,West,19325000.0,71.77634146,6264.481855317333
33,United Kingdom,GBR,4,12,2,18,1964,Tokyo,JPN,94.407558351,North,West,54000000.0,71.62439024,4727.1456612
34,Nigeria,NGA,0,0,1,1,1964,Tokyo,JPN,5.552822484,North,East,49066762.0,38.691,5132.154626533334
35,Turkey,TUR,2,3,1,6,1964,Tokyo,JPN,11.177777778,North,East,30244258.0,48.312,4669.0263621799995
39,Belgium,BEL,2,0,1,3,1964,Tokyo,JPN,15.960106681,North,East,9378113.0,70.75512195,4675.567093086667
40,Bahamas,BHS,1,0,0,1,1964,Tokyo,JPN,0.2666666667,North,West,133705.0,65.219,6296.32602934
42,France,FRA,7,3,5,15,1968,Mexico City,MEX,129.785,North,East,51175507.0,71.3097561,4657.586983086667
43,Mexico,MEX,3,3,3,9,1968,Mexico City,MEX,29.36,North,West,48431971.0,60.536,7089.6430021333335
44,Finland,FIN,1,2,1,4,1968,Mexico City,MEX,8.82303388,North,East,4626469.0,69.61634146,4940.61010778
46,Tunisia,TUN,1,0,1,2,1968,Mexico City,MEX,1.214666667,North,East,4845220.0,48.882,4575.978044073333
47,Turkey,TUR,2,0,0,2,1968,Mexico City,MEX,17.5,North,East,33256465.0,51.053,4669.0263621799995
48,Denmark,DNK,1,4,3,8,1968,Mexico City,MEX,13.505573867,North,East,4864883.0,73.12146341,4769.836091046666
49,Netherlands,NLD,3,3,1,7,1968,Mexico City,MEX,27.817605743,North,East,12729721.0,73.61268293,4712.265299573333
53,Venezuela,VEN,1,0,0,1,1968,Mexico City,MEX,10.034444444,North,West,10702281.0,63.916,6249.5811494
54,Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,26.436857247,South,West,23168268.0,65.989,7691.760326333334
56,Belgium,BEL,0,1,1,2,1968,Mexico City,MEX,21.376353113,North,East,9618756.0,70.69317073,4675.567093086667
57,Australia,AUS,5,7,5,17,1968,Mexico City,MEX,32.665472057,South,East,12009000.0,70.91902439,8930.279554713334
58,Austria,AUT,0,2,2,4,1968,Mexico City,MEX,12.440625313,North,East,7415403.0,70.05756098,4604.9858421
60,South Korea,KOR,0,1,1,2,1968,Mexico City,MEX,6.119284294,North,East,30838302.0,59.94460976,6422.407918860001
61,Pakistan,PAK,1,0,0,1,1968,Mexico City,MEX,8.04199916,North,East,55102690.0,51.457,5320.200652933334
63,Sweden,SWE,2,1,1,4,1968,Mexico City,MEX,31.066819929,North,East,7912273.0,73.97292683,4888.82392808
64,Greece,GRC,0,0,1,1,1968,Mexico City,MEX,10.090675903,North,East,8740765.0,70.30256098,4570.22862004
66,United Kingdom,GBR,5,5,3,13,1968,Mexico City,MEX,107.76,North,West,55211700.0,71.72439024,4727.1456612
67,Cameroon,CMR,0,1,0,1,1968,Mexico City,MEX,1.046191192,North,East,6201410.0,45.509,5286.381802733334
69,Brazil,BRA,0,1,2,3,1968,Mexico City,MEX,33.875881876,South,West,90387079.0,58.025,6524.317218993334
70,United States,USA,45,28,34,107,1968,Mexico City,MEX,942.5,North,West,200706000.0,69.95121951,6262.408512226667
71,New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,5.180597621,South,East,2748100.0,71.12439024,10162.121673733332
72,Canada,CAN,1,3,1,5,1968,Mexico City,MEX,71.82981052,North,West,20744000.0,72.35341463,6264.481855317333
73,Norway,NOR,1,1,0,2,1968,Mexico City,MEX,10.159934137,North,East,3816486.0,73.94195122,4905.527072446666
76,Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,1.083883355,North,West,1825873.0,67.349,6373.497472599998
77,Italy,ITA,3,4,9,16,1968,Mexico City,MEX,87.942231678,North,East,53235750.0,70.78,4550.87002624
78,Japan,JPN,11,7,7,25,1968,Mexico City,MEX,146.601,North,East,101011000.0,71.61121951,6878.392655666668
79,Iran,IRN,2,1,2,5,1968,Mexico City,MEX,8.62317296,North,East,27032576.0,49.503,4946.229137266666
80,Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,18.942729779,North,East,6067714.0,72.5902439,4591.695619313333
81,India,IND,0,0,1,1,1968,Mexico City,MEX,53.085455871,North,East,531513834.0,46.428,5416.461758133333
83,Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,1.037815126,North,East,8841156.0,48.687,5437.071324866667
84,Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,1.353295458,South,East,10539909.0,51.446,5507.264520666667
85,Pakistan,PAK,0,1,0,1,1972,Munich,DEU,9.41501636,North,East,61381982.0,53.699,5320.200652933334
86,Germany,DEU,20,23,23,66,1972,Munich,DEU,299.802,North,East,78688452.0,70.867,4684.012143373334
87,Uganda,UGA,1,1,0,2,1972,Munich,DEU,1.491596639,North,East,9929644.0,49.558,5437.071324866667
88,Norway,NOR,2,1,1,4,1972,Munich,DEU,17.35861085,North,East,3933004.0,74.34463415,4905.527072446666
89,Turkey,TUR,0,1,0,1,1972,Munich,DEU,20.431095406,North,East,36587267.0,53.492,4669.0263621799995
91,Niger,NER,0,0,1,1,1972,Munich,DEU,0.7427797403999999,North,East,4768225.0,36.203,5043.1629062
92,United States,USA,33,31,30,94,1972,Munich,DEU,1279.11,North,West,209896000.0,71.15609756,6262.408512226667
93,Ghana,GHA,0,0,1,1,1972,Munich,DEU,2.112292945,North,West,9229640.0,49.912,5271.593968333334
94,Denmark,DNK,1,0,0,1,1972,Munich,DEU,23.232379952,North,East,4991596.0,73.43902439,4769.836091046666
95,Jamaica,JAM,0,0,1,1,1972,Munich,DEU,1.87504886,North,West,1935089.0,68.491,6373.497472599998
96,France,FRA,2,4,7,13,1972,Munich,DEU,203.494,North,East,52793151.0,72.10731707,4657.586983086667
98,Finland,FIN,3,1,4,8,1972,Munich,DEU,14.74318612,North,East,4639657.0,70.70731707,4940.61010778
99,Mexico,MEX,0,1,0,1,1972,Munich,DEU,45.2,North,West,54689944.0,62.327,7089.6430021333335
100,Sweden,SWE,4,6,6,16,1972,Munich,DEU,48.954145809,North,East,8122300.0,74.71804878,4888.82392808
101,Brazil,BRA,0,0,2,2,1972,Munich,DEU,58.539008786,South,West,99859388.0,59.739,6524.317218993334
103,Italy,ITA,5,3,10,18,1972,Munich,DEU,145.26,North,East,54381345.0,72.07536585,4550.87002624
104,South Korea,KOR,0,1,0,1,1972,Munich,DEU,10.862327878,North,East,33505406.0,63.0097561,6422.407918860001
105,Australia,AUS,8,7,2,17,1972,Munich,DEU,51.96728972,South,East,13177000.0,71.45756098,8930.279554713334
106,Greece,GRC,0,2,0,2,1972,Munich,DEU,16.885511364,North,East,8888628.0,71.535,4570.22862004
109,Canada,CAN,0,2,3,5,1972,Munich,DEU,113.083,North,West,22218463.0,72.93390244,6264.481855317333
110,India,IND,0,0,1,1,1972,Munich,DEU,71.46319383,North,East,581087255.0,49.061,5416.461758133333
111,Colombia,COL,0,1,2,3,1972,Munich,DEU,8.671358733,North,West,22516429.0,63.105,6596.774323
112,Belgium,BEL,0,2,0,2,1972,Munich,DEU,37.209418019,North,East,9711115.0,71.40512195,4675.567093086667
113,Japan,JPN,13,8,8,29,1972,Munich,DEU,318.031,North,East,107188000.0,73.50658537,6878.392655666668
116,Iran,IRN,0,2,1,3,1972,Munich,DEU,17.153463263,North,East,30075295.0,52.559,4946.229137266666
119,Tunisia,TUN,0,1,0,1,1972,Munich,DEU,2.23747642,North,East,5291335.0,53.452,4575.978044073333
120,Argentina,ARG,0,1,0,1,1972,Munich,DEU,34.733000536,South,West,24653172.0,67.078,7691.760326333334
122,United Kingdom,GBR,4,5,9,18,1972,Munich,DEU,169.965,North,West,56086065.0,72.12439024,4727.1456612
123,Austria,AUT,0,1,2,3,1972,Munich,DEU,22.059612477,North,East,7544201.0,70.46341463,4604.9858421
124,Germany,DEU,13,11,16,40,1972,Munich,DEU,299.802,North,East,78688452.0,70.867,4684.012143373334
125,Spain,ESP,0,0,1,1,1972,Munich,DEU,59.132415221,North,West,34604469.0,72.81804878,4676.2183132733335
126,Netherlands,NLD,3,1,1,5,1972,Munich,DEU,54.706557264,North,East,13328593.0,73.72707317,4712.265299573333
127,Cuba,CUB,3,1,4,8,1972,Munich,DEU,8.135150892,North,West,9025347.0,70.787,6467.743547433332
130,Kenya,KEN,2,3,4,9,1972,Munich,DEU,2.107279157,South,East,12146070.0,53.674,5507.264520666667
131,New Zealand,NZL,1,1,1,3,1972,Munich,DEU,9.567331065,South,East,2903900.0,71.82926829,10162.121673733332
132,Nigeria,NGA,0,0,1,1,1972,Munich,DEU,12.274416018,North,East,58665813.0,41.829,5132.154626533334
134,Canada,CAN,0,5,6,11,1976,Montreal,CAN,206.576,North,West,23449808.0,73.85609756,6264.481855317333
136,South Korea,KOR,1,1,4,6,1976,Montreal,CAN,29.902479339,North,East,35848523.0,64.50243902,6422.407918860001
138,Germany,DEU,10,12,17,39,1976,Montreal,CAN,519.754,North,East,78336950.0,71.63414634,4684.012143373334
139,Netherlands,NLD,0,2,3,5,1976,Montreal,CAN,109.169,North,East,13774037.0,74.64707317,4712.265299573333
140,Jamaica,JAM,1,1,0,2,1976,Montreal,CAN,2.96601023,North,West,2055371.0,69.718,6373.497472599998
141,Thailand,THA,0,0,1,1,1976,Montreal,CAN,16.985211146,North,East,43377270.0,62.495,6073.180027466665
142,Austria,AUT,0,0,1,1,1976,Montreal,CAN,42.959976222,North,East,7565525.0,71.56585366,4604.9858421
143,Iran,IRN,0,1,1,2,1976,Montreal,CAN,68.055295081,North,East,33733975.0,55.744,4946.229137266666
145,United States,USA,34,35,25,94,1976,Montreal,CAN,1873.41,North,West,218035000.0,72.85609756,6262.408512226667
146,Finland,FIN,4,2,0,6,1976,Montreal,CAN,31.849513771,North,East,4725664.0,71.81292683,4940.61010778
147,United Kingdom,GBR,3,5,5,13,1976,Montreal,CAN,232.615,North,West,56211968.0,72.77560976,4727.1456612
149,Japan,JPN,9,6,10,25,1976,Montreal,CAN,586.162,North,East,112775000.0,75.45682927,6878.392655666668
150,Germany,DEU,40,25,25,90,1976,Montreal,CAN,519.754,North,East,78336950.0,71.63414634,4684.012143373334
152,Sweden,SWE,4,1,0,5,1976,Montreal,CAN,89.362071673,North,East,8222286.0,74.96926829,4888.82392808
153,New Zealand,NZL,2,1,1,4,1976,Montreal,CAN,13.604832424,South,East,3110500.0,72.42195122,10162.121673733332
154,Belgium,BEL,0,3,3,6,1976,Montreal,CAN,71.113882968,North,East,9818227.0,72.1197561,4675.567093086667
155,Italy,ITA,2,7,4,13,1976,Montreal,CAN,224.717,North,East,55718260.0,72.99195122,4550.87002624
157,Denmark,DNK,1,0,2,3,1976,Montreal,CAN,44.575892473,North,East,5072596.0,73.7397561,4769.836091046666
158,Puerto Rico,PRI,0,0,1,1,1976,Montreal,CAN,8.9686,North,West,3043854.0,73.19082927,6087.802239133333
159,Brazil,BRA,0,0,2,2,1976,Montreal,CAN,152.678,South,West,109790943.0,61.243,6524.317218993334
160,Pakistan,PAK,0,0,1,1,1976,Montreal,CAN,13.168080808,North,East,68834324.0,55.421,5320.200652933334
161,Venezuela,VEN,0,1,0,1,1976,Montreal,CAN,31.419534884,North,West,13572210.0,67.42,6249.5811494
164,Mexico,MEX,1,0,1,2,1976,Montreal,CAN,89.025974026,North,West,61242189.0,64.467,7089.6430021333335
165,Australia,AUS,0,1,4,5,1976,Montreal,CAN,104.921,South,East,14033000.0,73.01463415,8930.279554713334
168,Portugal,PRT,0,2,0,2,1976,Montreal,CAN,20.332831565,North,West,9355810.0,68.86097561,4772.601500306666
169,France,FRA,2,3,4,9,1976,Montreal,CAN,372.319,North,East,54220033.0,73.10243902,4657.586983086667
170,Cuba,CUB,6,4,3,13,1976,Montreal,CAN,13.789579903,North,West,9554186.0,72.543,6467.743547433332
171,Spain,ESP,0,2,0,2,1976,Montreal,CAN,118.507,North,West,36137812.0,73.64268293,4676.2183132733335
172,Norway,NOR,1,1,0,2,1976,Montreal,CAN,35.942270686,North,East,4026152.0,75.0395122,4905.527072446666
174,Venezuela,VEN,0,1,0,1,1980,Moscow,RUS,59.116511628,North,West,15182616.0,68.542,6249.5811494
175,Jamaica,JAM,0,0,3,3,1980,Moscow,RUS,2.679409453,North,West,2162839.0,70.793,6373.497472599998
176,Bulgaria,BGR,8,16,17,41,1980,Moscow,RUS,19.839230769,North,East,8861535.0,71.15756098,4584.094277499999
178,India,IND,1,0,0,1,1980,Moscow,RUS,186.325,North,East,698952837.0,53.814,5416.461758133333
179,Brazil,BRA,2,0,2,4,1980,Moscow,RUS,235.025,South,West,120694012.0,62.63,6524.317218993334
180,Italy,ITA,8,3,4,15,1980,Moscow,RUS,477.257,North,East,56433883.0,73.94317073,4550.87002624
181,Spain,ESP,1,3,2,6,1980,Moscow,RUS,232.767,North,West,37491165.0,75.34926829,4676.2183132733335
182,Netherlands,NLD,0,1,2,3,1980,Moscow,RUS,195.152,North,East,14149800.0,75.74317073,4712.265299573333
183,Uganda,UGA,0,1,0,1,1980,Moscow,RUS,1.24461,North,East,12442333.0,50.0,5437.071324866667
184,Belgium,BEL,1,0,0,1,1980,Moscow,RUS,126.829,North,East,9859242.0,73.20707317,4675.567093086667
185,Cuba,CUB,8,7,5,20,1980,Moscow,RUS,19.912889861,North,West,9849457.0,73.794,6467.743547433332
186,Switzerland,CHE,2,0,0,2,1980,Moscow,RUS,122.661,North,East,6319408.0,75.45926829,4591.695619313333
188,Sweden,SWE,3,3,6,12,1980,Moscow,RUS,142.092,North,East,8310531.0,75.74097561,4888.82392808
190,Ireland,IRL,0,1,1,2,1980,Moscow,RUS,21.751265577,North,West,3412800.0,72.6232439,4872.6161907666665
191,Zimbabwe,ZWE,1,0,0,1,1980,Moscow,RUS,6.6788682,South,East,7408630.0,59.731,6067.669821066667
192,United Kingdom,GBR,5,7,9,21,1980,Moscow,RUS,564.948,North,West,56314216.0,73.67560976,4727.1456612
194,France,FRA,6,5,3,14,1980,Moscow,RUS,701.288,North,East,55161510.0,74.05121951,4657.586983086667
195,Mexico,MEX,0,1,3,4,1980,Moscow,RUS,205.139,North,West,67761367.0,66.553,7089.6430021333335
197,Germany,DEU,47,37,42,126,1980,Moscow,RUS,950.291,North,East,78288576.0,72.67790244,4684.012143373334
200,Finland,FIN,3,1,4,8,1980,Moscow,RUS,53.645202423,North,East,4779535.0,73.44,4940.61010778
202,Greece,GRC,1,0,2,3,1980,Moscow,RUS,56.829664269,North,East,9642505.0,73.64714634,4570.22862004
204,Denmark,DNK,2,1,2,5,1980,Moscow,RUS,71.1275287,North,East,5123027.0,74.10170732,4769.836091046666
206,Guyana,GUY,0,0,1,1,1980,Moscow,RUS,0.6032,North,West,780153.0,62.498,6123.836514333333
207,Austria,AUT,1,2,1,4,1980,Moscow,RUS,82.058912997,North,East,7549433.0,72.46341463,4604.9858421
208,Australia,AUS,2,2,5,9,1980,Moscow,RUS,149.776,South,East,14692000.0,74.33365854,8930.279554713334
210,Kenya,KEN,1,0,2,3,1984,Los Angeles,USA,6.19143707,South,East,19146403.0,59.093,5507.264520666667
212,Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA,11.594,North,West,6331760.0,64.326,6178.694056066667
213,Turkey,TUR,0,0,3,3,1984,Los Angeles,USA,59.989909458,North,East,48114158.0,61.111,4669.0263621799995
214,Syria,SYR,0,1,0,1,1984,Los Angeles,USA,17.503082982,North,East,10293048.0,68.005,4741.878703053333
215,Colombia,COL,0,1,0,1,1984,Los Angeles,USA,38.253120738,North,West,29331230.0,68.529,6596.774323
216,China,CHN,15,8,9,32,1984,Los Angeles,USA,259.947,North,East,1036825000.0,68.231,6152.341139926667
218,Puerto Rico,PRI,0,1,1,2,1984,Los Angeles,USA,19.1626,North,West,3344190.0,74.17763415,6087.802239133333
220,Netherlands,NLD,5,2,6,13,1984,Los Angeles,USA,143.913,North,East,14424211.0,76.23317073,4712.265299573333
222,Japan,JPN,10,8,14,32,1984,Los Angeles,USA,1318.38,North,East,120083000.0,77.36536585,6878.392655666668
223,Switzerland,CHE,0,4,4,8,1984,Los Angeles,USA,109.547,North,East,6441865.0,76.60853659,4591.695619313333
224,Egypt,EGY,0,1,0,1,1984,Los Angeles,USA,33.971188992,North,East,47968643.0,61.091,4721.534723780001
225,South Korea,KOR,6,6,7,19,1984,Los Angeles,USA,97.510235986,North,East,40405956.0,68.19512195,6422.407918860001
226,Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,60.010285714,North,West,16876703.0,69.497,6249.5811494
227,Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA,73.484359521,North,East,81448757.0,46.106,5132.154626533334
228,Denmark,DNK,0,3,3,6,1984,Los Angeles,USA,59.105236854,North,East,5111619.0,74.56219512,4769.836091046666
229,Austria,AUT,1,1,1,3,1984,Los Angeles,USA,67.985344887,North,East,7561434.0,73.61219512,4604.9858421
230,Spain,ESP,1,2,2,5,1984,Los Angeles,USA,172.103,North,West,38330364.0,76.29536585,4676.2183132733335
231,Portugal,PRT,1,0,2,3,1984,Los Angeles,USA,25.21796905,North,West,9996232.0,72.51463415,4772.601500306666
232,Greece,GRC,0,1,1,2,1984,Los Angeles,USA,48.020024184,North,East,9895801.0,74.82912195,4570.22862004
233,New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA,21.665975319,South,East,3227100.0,74.37073171,10162.121673733332
234,Brazil,BRA,1,5,2,8,1984,Los Angeles,USA,209.024,South,West,132383569.0,64.039,6524.317218993334
235,Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,2.864441356,North,West,239511.0,77.57658537,5458.149684733334
236,Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,2.739444444,South,East,6701547.0,52.87,5970.820348333334
237,Canada,CAN,10,18,16,44,1984,Los Angeles,USA,355.373,North,West,25607053.0,76.21707317,6264.481855317333
238,Sweden,SWE,2,11,6,19,1984,Los Angeles,USA,109.201,North,East,8336605.0,76.81585366,4888.82392808
239,Germany,DEU,17,19,23,59,1984,Los Angeles,USA,725.111,North,East,77858685.0,73.78292683,4684.012143373334
240,Ireland,IRL,0,1,0,1,1984,Los Angeles,USA,20.109800239,North,West,3532423.0,73.53146341,4872.6161907666665
241,Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,7.311937457,North,East,9757849.0,52.997,5286.381802733334
242,Norway,NOR,0,1,2,3,1984,Los Angeles,USA,62.057955033,North,East,4140099.0,76.22439024,4905.527072446666
243,Belgium,BEL,1,1,2,4,1984,Los Angeles,USA,83.349530159,North,East,9855372.0,74.40487805,4675.567093086667
244,Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA,31.151825467,North,East,89213708.0,58.213,5320.200652933334
