,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
659,Tajikistan,TJK,0,1,1,2,2008,Beijing,CHN,5.161337336,North,East,7209924.0,67.911,5237.215110533334
661,United Kingdom,GBR,19,13,19,51,2008,Beijing,CHN,2921.43,North,West,61806995.0,79.6,4727.1456612
662,United States,USA,36,39,37,112,2008,Beijing,CHN,14712.8,North,West,304093966.0,78.03902439,6262.408512226667
663,Vietnam,VNM,0,1,0,1,2008,Beijing,CHN,99.130304099,North,East,86243424.0,74.625,6049.7034018
664,Samoa,WSM,0,1,0,1,2008,Beijing,CHN,0.6192607216,South,West,183270.0,71.158,11232.673214266666
665,Ukraine,UKR,7,4,11,22,2008,Beijing,CHN,179.817,North,East,46258189.0,68.25146341,4731.877346073334
666,Sweden,SWE,0,4,1,5,2008,Beijing,CHN,517.706,North,East,9219637.0,81.1,4888.82392808
667,Spain,ESP,5,11,3,19,2008,Beijing,CHN,1625.22,North,West,45954106.0,81.17560976,4676.2183132733335
669,Switzerland,CHE,2,1,4,7,2008,Beijing,CHN,570.304,North,East,7647675.0,81.99268293,4591.695619313333
670,Romania,ROU,4,1,4,9,2008,Beijing,CHN,214.314,North,East,20537875.0,72.56585366,4620.2260788466665
671,Tunisia,TUN,1,0,0,1,2008,Beijing,CHN,44.860969077,North,East,10414425.0,74.72,4575.978044073333
672,Turkey,TUR,1,1,3,5,2008,Beijing,CHN,770.462,North,East,70418612.0,73.649,4669.0263621799995
673,South Korea,KOR,13,11,8,32,2008,Beijing,CHN,1047.34,North,East,49054708.0,79.51707317,6422.407918860001
674,China,CHN,48,22,30,100,2008,Beijing,CHN,4594.31,North,East,1324655000.0,73.835,6152.341139926667
676,Mexico,MEX,2,0,2,4,2008,Beijing,CHN,1109.99,North,West,110815272.0,75.194,7089.6430021333335
678,Hungary,HUN,3,5,2,10,2008,Beijing,CHN,158.136,North,East,10038188.0,73.70243902,4606.2260906
679,Croatia,HRV,0,2,3,5,2008,Beijing,CHN,70.234425974,North,East,4309705.0,75.91219512,4571.386284686667
680,Kazakhstan,KAZ,2,3,4,9,2008,Beijing,CHN,133.442,North,East,15776938.0,67.11,5407.725040866668
681,Lithuania,LTU,0,3,2,5,2008,Beijing,CHN,47.797551588,North,East,3198231.0,71.81219512,4777.694243266667
682,Chile,CHL,0,1,0,1,2008,Beijing,CHN,179.638,South,West,16708255.0,78.33,7824.832181866667
683,Cuba,CUB,3,10,17,30,2008,Beijing,CHN,60.8063,North,West,11236975.0,78.15,6467.743547433332
684,Kyrgyzstan,KGZ,0,1,2,3,2008,Beijing,CHN,5.139957785,North,East,5318700.0,68.45121951,5366.259770333333
685,South Africa,ZAF,0,1,0,1,2008,Beijing,CHN,286.77,South,East,49779472.0,55.36,6388.8926753333335
686,Russia,RUS,24,13,23,60,2008,Beijing,CHN,1660.85,North,East,142742366.0,67.94926829,4889.668522333333
687,Afghanistan,AFG,0,0,1,1,2008,Beijing,CHN,10.109225814,North,East,27722281.0,59.93,5247.8657263333325
688,Colombia,COL,0,2,1,3,2008,Beijing,CHN,242.187,North,West,44254972.0,74.962,6596.774323
689,Denmark,DNK,2,2,3,7,2008,Beijing,CHN,353.361,North,East,5493621.0,78.44634146,4769.836091046666
690,Czech Republic,CZE,3,3,1,7,2008,Beijing,CHN,236.816,North,East,10384603.0,76.97560976,4632.779909539999
691,Kenya,KEN,6,4,6,16,2008,Beijing,CHN,35.895153328,South,East,39791984.0,58.76,5507.264520666667
692,Zimbabwe,ZWE,1,3,0,4,2008,Beijing,CHN,4.4157028,South,East,12379553.0,46.504,6067.669821066667
693,Lithuania,LTU,2,0,3,5,2012,London,GBR,42.927454291,North,East,2987773.0,73.86341463,4777.694243266667
694,Latvia,LVA,1,0,1,2,2012,London,GBR,28.324787664,North,East,2034319.0,73.77804878,4827.814877173334
695,Kuwait,KWT,0,0,1,1,2012,London,GBR,174.07,North,East,3348852.0,74.728,4936.3273051333335
696,Netherlands,NLD,6,6,8,20,2012,London,GBR,838.971,North,East,16754962.0,81.10487805,4712.265299573333
697,Kenya,KEN,2,4,7,13,2012,London,GBR,50.412754861,South,East,44343469.0,62.659,5507.264520666667
698,South Korea,KOR,13,9,8,30,2012,London,GBR,1278.43,North,East,50199853.0,80.8195122,6422.407918860001
700,New Zealand,NZL,6,2,5,13,2012,London,GBR,176.207,South,East,4408100.0,81.15609756,10162.121673733332
701,Saudi Arabia,SAU,0,0,1,1,2012,London,GBR,735.975,North,East,29154906.0,74.254,4975.397389466667
702,Japan,JPN,7,14,17,38,2012,London,GBR,6203.21,North,East,127629000.0,83.09609756,6878.392655666668
703,Slovakia,SVK,0,1,3,4,2012,London,GBR,94.534730681,North,East,5407579.0,76.1097561,4608.349577246667
705,Spain,ESP,4,10,4,18,2012,London,GBR,1324.82,North,West,46773055.0,82.42682927,4676.2183132733335
706,Russia,RUS,20,20,27,67,2012,London,GBR,2208.3,North,East,143201721.0,70.07219512,4889.668522333333
707,Germany,DEU,11,20,13,44,2012,London,GBR,3527.34,North,East,80425823.0,80.53902439,4684.012143373334
708,Qatar,QAT,0,0,2,2,2012,London,GBR,186.834,North,East,2196078.0,79.399,5031.895296600001
710,Kazakhstan,KAZ,3,1,7,11,2012,London,GBR,207.999,North,East,16792090.0,69.52,5407.725040866668
711,Jamaica,JAM,4,5,3,12,2012,London,GBR,14.807086889,North,West,2842128.0,74.001,6373.497472599998
712,Ireland,IRL,1,1,4,6,2012,London,GBR,224.984,North,West,4599533.0,80.84634146,4872.6161907666665
713,Guatemala,GTM,0,1,0,1,2012,London,GBR,49.593961142,North,West,14781942.0,72.236,6867.906819386667
714,Egypt,EGY,0,3,1,4,2012,London,GBR,279.117,North,East,86422240.0,70.736,4721.534723780001
716,Norway,NOR,2,1,1,4,2012,London,GBR,509.506,North,East,5018573.0,81.45121951,4905.527072446666
717,Romania,ROU,2,4,1,7,2012,London,GBR,170.636,North,East,20058035.0,74.41219512,4620.2260788466665
718,Hungary,HUN,8,4,6,18,2012,London,GBR,128.475,North,East,9920362.0,75.06341463,4606.2260906
719,Puerto Rico,PRI,0,1,1,2,2012,London,GBR,101.565,North,West,3634488.0,78.84758537,6087.802239133333
720,Poland,POL,3,2,6,11,2012,London,GBR,498.524,North,East,38063164.0,76.74634146,4703.426059553332
721,Iran,IRN,7,5,1,13,2012,London,GBR,598.868,North,East,75539881.0,74.776,4946.229137266666
722,Portugal,PRT,0,1,0,1,2012,London,GBR,216.237,North,West,10514844.0,80.37317073,4772.601500306666
723,Indonesia,IDN,0,2,1,3,2012,London,GBR,917.87,South,East,248451714.0,69.866,6727.829790066666
724,Sweden,SWE,1,4,3,8,2012,London,GBR,552.484,North,East,9519374.0,81.70487805,4888.82392808
725,India,IND,0,2,4,6,2012,London,GBR,1827.64,North,East,1265780243.0,67.545,5416.461758133333
727,Italy,ITA,8,9,11,28,2012,London,GBR,2087.08,North,East,59539717.0,82.23902439,4550.87002624
729,Mexico,MEX,1,3,4,8,2012,London,GBR,1201.09,North,West,117274156.0,74.966,7089.6430021333335
730,Slovenia,SVN,1,1,2,4,2012,London,GBR,46.58045747,North,East,2057159.0,80.12439024,4572.73260364
733,Malaysia,MYS,0,1,1,2,2012,London,GBR,314.443,North,East,29068189.0,74.877,6345.212369933332
734,Azerbaijan,AZE,2,2,5,9,2012,London,GBR,69.683935845,North,East,9295784.0,71.506,4916.379435
735,South Africa,ZAF,4,1,1,6,2012,London,GBR,396.333,South,East,52832659.0,60.06,6388.8926753333335
736,Uzbekistan,UZB,0,0,3,3,2012,London,GBR,63.628854499,North,East,29774500.0,70.155,5259.327183133332
737,Vietnam,VNM,0,0,1,1,2012,London,GBR,155.82,North,East,89801926.0,74.958,6049.7034018
738,Switzerland,CHE,2,2,0,4,2012,London,GBR,692.11,North,East,7996861.0,82.69756098,4591.695619313333
739,Greece,GRC,0,0,2,2,2012,London,GBR,242.054,North,East,11045011.0,80.63414634,4570.22862004
740,Afghanistan,AFG,0,0,1,1,2012,London,GBR,20.001598506,North,East,31161378.0,62.054,5247.8657263333325
741,Algeria,DZA,1,0,0,1,2012,London,GBR,209.059,North,East,37383899.0,75.436,4616.55255802
742,Tajikistan,TJK,0,0,1,1,2012,London,GBR,7.633049792,North,East,7874838.0,69.34,5237.215110533334
743,Denmark,DNK,2,4,3,9,2012,London,GBR,327.149,North,East,5591572.0,80.05121951,4769.836091046666
744,Argentina,ARG,1,1,2,4,2012,London,GBR,545.982,South,West,41733271.0,75.598,7691.760326333334
745,Venezuela,VEN,1,0,0,1,2012,London,GBR,381.286,North,West,29360827.0,73.037,6249.5811494
746,Gabon,GAB,0,1,0,1,2012,London,GBR,17.170465294,North,East,1749677.0,62.924,5392.893265200001
747,Thailand,THA,0,2,2,4,2012,London,GBR,397.558,North,East,67835969.0,74.992,6073.180027466665
748,Armenia,ARM,0,1,1,2,2012,London,GBR,10.619320049,North,East,2884239.0,73.82,4833.087700466667
749,Finland,FIN,0,2,1,3,2012,London,GBR,258.305,North,East,5413971.0,80.62682927,4940.61010778
750,Cameroon,CMR,0,0,1,1,2012,London,GBR,29.102772799,North,East,21485267.0,56.073,5286.381802733334
751,Estonia,EST,0,1,1,2,2012,London,GBR,23.192708982,North,East,1322696.0,76.32682927,4908.7880147999995
752,Ethiopia,ETH,3,2,3,8,2012,London,GBR,43.310721414,North,East,92726982.0,63.281,5218.3524252
753,Australia,AUS,8,15,12,35,2012,London,GBR,1546.15,South,East,22733465.0,82.04634146,8930.279554713334
755,France,FRA,11,11,13,35,2012,London,GBR,2683.83,North,East,65659814.0,81.96829268,4657.586983086667
756,Dominican Republic,DOM,1,1,0,2,2012,London,GBR,60.681537196,North,West,9930916.0,72.523,6178.694056066667
757,Georgia,GEO,1,2,3,6,2012,London,GBR,16.488403076,North,East,3728874.0,72.097,4838.941393200001
758,United Kingdom,GBR,29,17,19,65,2012,London,GBR,2704.02,North,West,63700215.0,80.90487805,4727.1456612
759,Tunisia,TUN,2,0,1,3,2012,London,GBR,45.044138549,North,East,10846993.0,75.376,4575.978044073333
760,Bahamas,BHS,1,0,0,1,2012,London,GBR,10.7205,North,West,363581.0,72.424,6296.32602934
761,Cyprus,CYP,0,1,0,1,2012,London,GBR,24.978513427,North,East,1135046.0,79.812,4692.627197293333
762,Turkey,TUR,1,1,1,3,2012,London,GBR,880.556,North,East,74651046.0,75.373,4669.0263621799995
763,Cuba,CUB,5,3,7,15,2012,London,GBR,73.141,North,West,11257112.0,78.446,6467.743547433332
764,Bahrain,BHR,1,0,0,1,2012,London,GBR,30.749308511,North,East,1299942.0,76.342,5004.862516933334
765,United States,USA,46,28,30,104,2012,London,GBR,16197.0,North,West,313877662.0,78.74146341,6262.408512226667
766,Croatia,HRV,3,1,2,6,2012,London,GBR,56.580819624,North,East,4267558.0,76.92439024,4571.386284686667
767,Uganda,UGA,1,0,0,1,2012,London,GBR,27.188667093,North,East,34558700.0,59.017,5437.071324866667
768,Czech Republic,CZE,4,3,4,11,2012,London,GBR,208.858,North,East,10510785.0,78.07560976,4632.779909539999
769,Colombia,COL,1,3,5,9,2012,London,GBR,370.921,North,West,46075721.0,75.882,6596.774323
770,Belarus,BLR,2,5,3,10,2012,London,GBR,65.685102555,North,East,9464495.0,71.96585366,4770.616006033334
771,Bulgaria,BGR,0,2,1,3,2012,London,GBR,54.033250329,North,East,7305888.0,74.31463415,4584.094277499999
772,Brazil,BRA,3,5,9,17,2012,London,GBR,2465.19,South,West,199287292.0,74.209,6524.317218993334
773,China,CHN,38,31,22,91,2012,London,GBR,8532.23,North,East,1350695000.0,75.013,6152.341139926667
774,Canada,CAN,2,5,11,18,2012,London,GBR,1828.37,North,West,34714222.0,81.64878049,6264.481855317333
776,Ukraine,UKR,5,4,10,19,2012,London,GBR,175.781,North,East,45593342.0,70.94414634,4731.877346073334
777,Belgium,BEL,0,1,2,3,2012,London,GBR,496.181,North,East,11106932.0,80.38536585,4675.567093086667
778,Botswana,BWA,0,1,0,1,2012,London,GBR,14.380004175,South,East,2039551.0,63.511,6338.289723933335
779,Hungary,HUN,8,3,4,15,2016,Rio de Janeiro,BRA,128.471,North,East,9814023.0,76.06341463,4606.2260906
780,Jamaica,JAM,6,3,2,11,2016,Rio de Janeiro,BRA,14.077109397,North,West,2906242.0,74.175,6373.497472599998
781,Spain,ESP,7,4,6,17,2016,Rio de Janeiro,BRA,1232.08,North,West,46484062.0,83.32926829,4676.2183132733335
782,Slovakia,SVK,2,2,0,4,2016,Rio de Janeiro,BRA,89.655253976,North,East,5430798.0,77.16585366,4608.349577246667
783,France,FRA,10,18,14,42,2016,Rio de Janeiro,BRA,2471.29,North,East,66724104.0,82.57317073,4657.586983086667
784,Greece,GRC,3,1,2,6,2016,Rio de Janeiro,BRA,192.732,North,East,10775971.0,81.38780488,4570.22862004
785,Switzerland,CHE,3,2,2,7,2016,Rio de Janeiro,BRA,695.601,North,East,8373338.0,83.60243902,4591.695619313333
786,Germany,DEU,17,10,15,42,2016,Rio de Janeiro,BRA,3467.5,North,East,82348669.0,80.9902439,4684.012143373334
787,Georgia,GEO,2,1,4,7,2016,Rio de Janeiro,BRA,15.141758567,North,East,3727505.0,73.207,4838.941393200001
788,India,IND,0,1,1,2,2016,Rio de Janeiro,BRA,2294.8,North,East,1324517250.0,68.897,5416.461758133333
789,Tajikistan,TJK,1,0,0,1,2016,Rio de Janeiro,BRA,6.992393787,North,East,8663575.0,70.397,5237.215110533334
790,Sweden,SWE,2,6,3,11,2016,Rio de Janeiro,BRA,515.655,North,East,9923085.0,82.30731707,4888.82392808
792,Indonesia,IDN,1,2,0,3,2016,Rio de Janeiro,BRA,931.877,South,East,261556386.0,71.035,6727.829790066666
794,Finland,FIN,0,0,1,1,2016,Rio de Janeiro,BRA,240.608,North,East,5495303.0,81.42926829,4940.61010778
795,Iran,IRN,3,1,4,8,2016,Rio de Janeiro,BRA,417.984,North,East,79563991.0,76.047,4946.229137266666
796,Qatar,QAT,0,1,0,1,2016,Rio de Janeiro,BRA,151.732,North,East,2654379.0,79.868,5031.895296600001
797,Mexico,MEX,0,3,2,5,2016,Rio de Janeiro,BRA,1078.49,North,West,123333379.0,74.917,7089.6430021333335
798,Tunisia,TUN,0,0,3,3,2016,Rio de Janeiro,BRA,41.801284916,North,East,11303942.0,76.115,4575.978044073333
799,Slovenia,SVN,1,2,1,4,2016,Rio de Janeiro,BRA,44.736333522,North,East,2065042.0,81.17560976,4572.73260364
800,Thailand,THA,2,2,2,6,2016,Rio de Janeiro,BRA,413.366,North,East,68971313.0,76.403,6073.180027466665
801,Dominican Republic,DOM,0,0,1,1,2016,Rio de Janeiro,BRA,75.70472019,North,West,10397738.0,73.471,6178.694056066667
802,Japan,JPN,12,8,21,41,2016,Rio de Janeiro,BRA,4922.54,North,East,126994511.0,83.98487805,6878.392655666668
803,Jordan,JOR,1,0,0,1,2016,Rio de Janeiro,BRA,39.892551127,North,East,9554286.0,74.184,4750.030331366666
804,Denmark,DNK,2,6,7,15,2016,Rio de Janeiro,BRA,313.116,North,East,5728010.0,80.85365854,4769.836091046666
805,Kazakhstan,KAZ,3,5,10,18,2016,Rio de Janeiro,BRA,137.278,North,East,17794055.0,72.41,5407.725040866668
806,Czech Republic,CZE,1,2,7,10,2016,Rio de Janeiro,BRA,196.272,North,East,10566332.0,79.02682927,4632.779909539999
807,South Korea,KOR,9,3,9,21,2016,Rio de Janeiro,BRA,1500.11,North,East,51217803.0,82.27560976,6422.407918860001
808,Kenya,KEN,6,6,1,13,2016,Rio de Janeiro,BRA,69.188755364,South,East,49051531.0,65.393,5507.264520666667
809,Turkey,TUR,1,3,4,8,2016,Rio de Janeiro,BRA,869.693,North,East,79827868.0,76.86,4669.0263621799995
811,Egypt,EGY,0,0,3,3,2016,Rio de Janeiro,BRA,332.442,North,East,94447071.0,71.482,4721.534723780001
812,Croatia,HRV,5,3,2,10,2016,Rio de Janeiro,BRA,51.601147666,North,East,4174349.0,78.02195122,4571.386284686667
813,Lithuania,LTU,0,1,3,4,2016,Rio de Janeiro,BRA,43.018087238,North,East,2868231.0,74.67073171,4777.694243266667
814,Colombia,COL,3,2,3,8,2016,Rio de Janeiro,BRA,282.825,North,West,48175048.0,76.732,6596.774323
815,South Africa,ZAF,2,6,2,10,2016,Rio de Janeiro,BRA,296.357,South,East,56207649.0,63.153,6388.8926753333335
817,Malaysia,MYS,0,4,1,5,2016,Rio de Janeiro,BRA,301.255,North,East,30684652.0,75.649,6345.212369933332
818,United Arab Emirates,ARE,0,0,1,1,2016,Rio de Janeiro,BRA,357.045,North,East,9360975.0,77.47,5084.586666866668
819,China,CHN,26,18,26,70,2016,Rio de Janeiro,BRA,11233.3,North,East,1378665000.0,76.21,6152.341139926667
820,Ireland,IRL,0,2,0,2,2016,Rio de Janeiro,BRA,299.556,North,West,4755335.0,81.65365854,4872.6161907666665
821,Norway,NOR,0,0,4,4,2016,Rio de Janeiro,BRA,368.827,North,East,5234519.0,82.40731707,4905.527072446666
822,Ethiopia,ETH,1,2,5,8,2016,Rio de Janeiro,BRA,74.296618481,North,East,103603461.0,65.482,5218.3524252
823,Nigeria,NGA,0,0,1,1,2016,Rio de Janeiro,BRA,404.65,North,East,185960244.0,53.541,5132.154626533334
824,Australia,AUS,8,11,10,29,2016,Rio de Janeiro,BRA,1208.85,South,East,24190907.0,82.44878049,8930.279554713334
825,Netherlands,NLD,8,7,4,19,2016,Rio de Janeiro,BRA,783.528,North,East,17030314.0,81.56097561,4712.265299573333
830,Argentina,ARG,3,1,0,4,2016,Rio de Janeiro,BRA,557.531,South,West,43590368.0,76.221,7691.760326333334
831,Azerbaijan,AZE,1,7,10,18,2016,Rio de Janeiro,BRA,37.867518957,North,East,9757812.0,72.493,4916.379435
832,Poland,POL,2,3,6,11,2016,Rio de Janeiro,BRA,472.63,North,East,37970087.0,77.85121951,4703.426059553332
833,Brazil,BRA,7,6,6,19,2016,Rio de Janeiro,BRA,1795.7,South,West,206163056.0,75.23,6524.317218993334
835,Burundi,BDI,0,1,0,1,2016,Rio de Janeiro,BRA,2.959641047,South,East,10488002.0,60.528,5532.1053902
836,Algeria,DZA,0,2,0,2,2016,Rio de Janeiro,BRA,160.034,North,East,40551398.0,76.298,4616.55255802
837,Portugal,PRT,0,0,1,1,2016,Rio de Janeiro,BRA,206.286,North,West,10325452.0,81.12439024,4772.601500306666
838,Bulgaria,BGR,0,1,2,3,2016,Rio de Janeiro,BRA,53.806894796,North,East,7127822.0,74.81219512,4584.094277499999
839,United Kingdom,GBR,27,23,17,67,2016,Rio de Janeiro,BRA,2693.25,North,West,65611593.0,81.15609756,4727.1456612
840,Cuba,CUB,5,2,4,11,2016,Rio de Janeiro,BRA,91.37,North,West,11335108.0,78.607,6467.743547433332
841,Puerto Rico,PRI,1,0,0,1,2016,Rio de Janeiro,BRA,104.337,North,West,3406672.0,79.49497561,6087.802239133333
842,Fiji,FJI,1,0,0,1,2016,Rio de Janeiro,BRA,4.93020423,South,East,872406.0,67.175,9580.569488933334
843,Uzbekistan,UZB,4,2,7,13,2016,Rio de Janeiro,BRA,81.779012351,North,East,31847900.0,71.171,5259.327183133332
845,Israel,ISR,0,0,2,2,2016,Rio de Janeiro,BRA,318.617,North,West,8546000.0,82.40731707,5276.838422866666
846,Estonia,EST,0,0,1,1,2016,Rio de Janeiro,BRA,24.259552889,North,East,1315790.0,77.64146341,4908.7880147999995
847,Italy,ITA,8,12,8,28,2016,Rio de Janeiro,BRA,1875.8,North,East,60627498.0,83.24390244,4550.87002624
848,Ivory Coast,CIV,1,0,1,2,2016,Rio de Janeiro,BRA,47.96423456,North,West,23822726.0,56.567,5273.257207000001
849,Canada,CAN,4,3,15,22,2016,Rio de Janeiro,BRA,1527.99,North,West,36109487.0,81.9,6264.481855317333
851,Niger,NER,0,1,0,1,2016,Rio de Janeiro,BRA,10.35500677,North,East,20788789.0,61.137,5043.1629062
852,Belgium,BEL,2,2,2,6,2016,Rio de Janeiro,BRA,475.74,North,East,11331422.0,81.43902439,4675.567093086667
853,Russia,RUS,19,17,20,56,2016,Rio de Janeiro,BRA,1276.79,North,East,144342397.0,71.65121951,4889.668522333333
854,Austria,AUT,0,0,1,1,2016,Rio de Janeiro,BRA,395.569,North,East,8736668.0,81.64146341,4604.9858421
855,Belarus,BLR,1,4,4,9,2016,Rio de Janeiro,BRA,47.722657821,North,East,9501534.0,73.82682927,4770.616006033334
856,Vietnam,VNM,1,1,0,2,2016,Rio de Janeiro,BRA,205.276,North,East,93640435.0,75.172,6049.7034018
857,Romania,ROU,1,1,2,4,2016,Rio de Janeiro,BRA,188.129,North,East,19702267.0,75.2097561,4620.2260788466665
858,United States,USA,46,37,38,121,2016,Rio de Janeiro,BRA,18745.1,North,West,323071755.0,78.53902439,6262.408512226667
859,Bahrain,BHR,1,1,0,2,2016,Rio de Janeiro,BRA,32.234973404,North,East,1425793.0,76.899,5004.862516933334
860,New Zealand,NZL,4,9,5,18,2016,Rio de Janeiro,BRA,188.943,South,East,4714100.0,81.61243902,10162.121673733332
861,Bahamas,BHS,1,0,1,2,2016,Rio de Janeiro,BRA,11.9285,North,West,377923.0,73.329,6296.32602934
862,Philippines,PHL,0,1,0,1,2016,Rio de Janeiro,BRA,318.627,North,East,103663812.0,70.802,6570.342239333335
863,Armenia,ARM,1,3,0,4,2016,Rio de Janeiro,BRA,10.54613516,North,East,2936147.0,74.64,4833.087700466667
864,Ukraine,UKR,2,5,4,11,2016,Rio de Janeiro,BRA,93.355993629,North,East,45004673.0,71.47634146,4731.877346073334
