,Gold,Silver,Bronze,Total,GDP,Latitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
197,3,0,0,1,99.88657733,North,39629965,72.945,6596.774323,44,1,0.022727273,25,0,0.0,19,1,0.052631579,0,0.0
198,3,2,4,6,48.85248296,North,8763400,70.201,4916.379435,44,6,0.136363636,30,5,0.166666667,14,1,0.071428571,0,0.0
199,0,2,3,4,205.139,North,67761367,66.553,7089.643002,45,4,0.088888889,36,1,0.027777778,9,0,0.0,0,0.0
200,0,2,2,3,2.373566957,North,2306367,71.614,6373.497473,45,3,0.066666667,31,1,0.032258065,14,2,0.142857143,0,0.0
201,6,0,1,3,46.94158252,North,29266415,68.919,4616.552558,45,3,0.066666667,39,3,0.076923077,6,0,0.0,0,0.0
202,3,2,1,3,7.949253766,North,2367550,70.31463415,4827.814877,45,3,0.066666667,30,3,0.1,15,0,0.0,0,0.0
203,12,10,3,12,14.80708689,North,2842128,74.001,6373.497473,45,12,0.266666667,23,7,0.304347826,22,5,0.227272727,0,0.0
204,3,0,1,2,28.32478766,North,2034319,73.77804878,4827.814877,45,2,0.044444444,31,2,0.064516129,14,0,0.0,0,0.0
205,3,2,0,2,10.15993414,North,3816486,73.94195122,4905.527072,46,2,0.043478261,38,1,0.026315789,8,0,0.0,0,0.0
206,0,0,1,1,7.311937457,North,9757849,52.997,5286.381803,46,1,0.02173913,42,1,0.023809524,4,0,0.0,0,0.0
207,0,0,3,3,59.98990946,North,48114158,61.111,4669.026362,46,3,0.065217391,45,3,0.066666667,1,0,0.0,0,0.0
208,0,0,1,1,111.453,North,57811025,70.281,6073.180027,46,1,0.02173913,23,1,0.043478261,23,0,0.0,0,0.0
209,3,6,2,6,7.393883555,North,2558631,74.167,6373.497473,46,6,0.130434783,27,2,0.074074074,19,4,0.210526316,0,0.0
210,3,8,2,7,16.09533709,South,35635267,53.475,5507.264521,46,7,0.152173913,22,5,0.227272727,24,2,0.083333333,0,0.0
211,18,8,6,16,35.89515333,South,39791984,58.76,5507.264521,46,16,0.347826087,28,9,0.321428571,18,7,0.388888889,0,0.0
212,0,0,1,1,24.25955289,North,1315790,77.64146341,4908.788015,46,1,0.02173913,28,1,0.035714286,18,0,0.0,0,0.0
213,0,2,0,1,5.271404668,North,29958687,62.411,6570.342239,47,1,0.021276596,40,1,0.025,7,0,0.0,0,0.0
214,0,2,1,2,21.75126558,North,3412800,72.6232439,4872.616191,47,2,0.042553191,44,1,0.022727273,3,0,0.0,0,0.0
215,0,2,0,1,5.969114344,North,2457222,68.77658537,4827.814877,47,1,0.021276596,34,1,0.029411765,13,0,0.0,0,0.0
216,3,2,3,5,54.79037946,North,31042238,70.64,4616.552558,47,5,0.106382979,37,4,0.108108108,10,1,0.1,0,0.0
217,3,6,2,6,165.021,South,211513822,65.772,6727.82979,47,6,0.127659574,27,2,0.074074074,20,3,0.15,1,0.021276596
218,6,2,2,5,10.17466485,North,2725017,74.146,6373.497473,47,5,0.106382979,22,1,0.045454545,25,4,0.16,0,0.0
219,3,2,0,2,24.37129925,North,1337090,73.77073171,4908.788015,47,2,0.042553191,34,2,0.058823529,13,0,0.0,0,0.0
220,3,2,1,3,35.7562257,North,2177322,72.4195122,4827.814877,47,3,0.063829787,29,3,0.103448276,18,0,0.0,0,0.0
221,6,4,2,6,291.383,North,66530980,73.341,6073.180027,47,6,0.127659574,22,2,0.090909091,25,4,0.16,0,0.0
222,6,8,7,13,50.41275486,South,44343469,62.659,5507.264521,47,13,0.276595745,27,7,0.259259259,20,6,0.3,0,0.0
223,0,2,3,4,94.53473068,North,5407579,76.1097561,4608.349577,47,4,0.085106383,26,2,0.076923077,21,2,0.095238095,0,0.0
224,0,0,2,2,318.617,North,8546000,82.40731707,5276.838423,47,2,0.042553191,22,1,0.045454545,25,1,0.04,0,0.0
225,0,4,1,3,17.15346326,North,30075295,52.559,4946.229137,48,3,0.0625,48,3,0.0625,0,0,0.0,0,0.0
226,0,12,3,9,9.005064475,North,2654698,74.142,6373.497473,48,9,0.1875,22,2,0.090909091,26,7,0.269230769,0,0.0
227,0,0,1,1,1.369688498,North,4898400,68.55853659,5366.25977,48,1,0.020833333,35,1,0.028571429,13,0,0.0,0,0.0
228,0,0,2,2,112.453,North,25996594,72.746,6249.581149,48,2,0.041666667,33,1,0.03030303,15,1,0.066666667,0,0.0
229,0,0,1,1,58.41898544,North,34422568,70.161,6596.774323,49,1,0.020408163,46,0,0.0,3,1,0.333333333,0,0.0
230,6,8,2,8,8.209129172,South,25326080,55.973,5507.264521,49,8,0.163265306,40,8,0.2,9,0,0.0,0,0.0
231,0,0,1,1,392.897,North,982365248,60.783,5416.461758,49,1,0.020408163,40,1,0.025,9,0,0.0,0,0.0
232,3,2,4,6,29.90247934,North,35848523,64.50243902,6422.407919,50,6,0.12,38,5,0.131578947,12,1,0.083333333,0,0.0
233,15,8,2,11,13.70940209,North,2781869,74.103,6373.497473,50,11,0.22,23,2,0.086956522,27,9,0.333333333,0,0.0
234,0,2,1,2,19.1626,North,3344190,74.17763415,6087.802239,51,2,0.039215686,43,2,0.046511628,8,0,0.0,0,0.0
235,0,0,1,1,19.58732279,North,9267335,71.921,4575.978044,51,1,0.019607843,45,1,0.022222222,6,0,0.0,0,0.0
236,3,0,2,3,368.537,North,10421137,78.87804878,4675.567093,51,3,0.058823529,32,1,0.03125,19,2,0.105263158,0,0.0
237,6,4,0,4,89.65525398,North,5430798,77.16585366,4608.349577,51,4,0.078431373,32,4,0.125,19,0,0.0,0,0.0
238,3,0,2,3,5.180597621,South,2748100,71.12439024,10162.12167,52,3,0.057692308,47,2,0.042553191,5,0,0.0,0,0.0
239,3,8,3,8,12.04585844,South,28589456,52.709,5507.264521,52,8,0.153846154,42,7,0.166666667,10,1,0.1,0,0.0
240,3,0,2,3,126.392,North,62952639,70.623,6073.180027,52,3,0.057692308,34,2,0.058823529,18,1,0.055555556,0,0.0
241,15,0,1,6,264.512,North,4591910,79.84146341,4905.527072,52,6,0.115384615,35,4,0.114285714,17,2,0.117647059,0,0.0
242,6,4,5,9,69.68393585,North,9295784,71.506,4916.379435,52,9,0.173076923,38,7,0.184210526,14,2,0.142857143,0,0.0
243,21,10,1,13,598.868,North,75539881,74.776,4946.229137,52,13,0.25,44,13,0.295454545,8,0,0.0,0,0.0
244,3,0,0,1,56.48028994,North,488848139,43.873,5416.461758,53,1,0.018867925,52,1,0.019230769,1,0,0.0,0,0.0
245,12,2,1,6,181.476,North,59423278,67.57,4669.026362,53,6,0.113207547,44,6,0.136363636,9,0,0.0,0,0.0
246,0,0,2,2,117.082,North,42075953,74.026,6596.774323,53,2,0.037735849,32,0,0.0,21,2,0.095238095,0,0.0
247,0,4,0,2,197.117,North,5228172,78.71463415,4940.610108,53,2,0.037735849,36,2,0.055555556,17,0,0.0,0,0.0
248,3,0,2,3,1198.9,North,1200669762,65.794,5416.461758,53,3,0.056603774,31,3,0.096774194,22,0,0.0,0,0.0
249,0,0,3,3,63.6288545,North,29774500,70.155,5259.327183,53,3,0.056603774,36,3,0.083333333,17,0,0.0,0,0.0
250,3,0,0,1,4.93020423,South,872406,67.175,9580.569489,53,1,0.018867925,36,1,0.027777778,17,0,0.0,0,0.0
251,0,2,1,2,6.119284294,North,30838302,59.94460976,6422.407919,54,2,0.037037037,41,2,0.048780488,13,0,0.0,0,0.0
252,3,0,1,2,412.336,North,72120608,73.027,4946.229137,54,2,0.037037037,51,2,0.039215686,3,0,0.0,0,0.0
253,0,0,1,1,240.608,North,5495303,81.42926829,4940.610108,54,1,0.018518519,26,0,0.0,28,1,0.035714286,0,0.0
254,6,4,2,6,413.366,North,68971313,76.403,6073.180027,54,6,0.111111111,26,2,0.076923077,28,4,0.142857143,0,0.0
255,0,6,1,4,47.79492582,North,100161708,45.857,5132.154627,55,4,0.072727273,32,3,0.09375,23,1,0.043478261,0,0.0
256,0,2,2,3,274.82,North,4489544,80.09512195,4872.616191,55,3,0.054545455,39,3,0.076923077,16,0,0.0,0,0.0
257,0,0,1,1,76.26127793,North,10036983,75.8912439,4570.22862,56,1,0.017857143,44,1,0.022727273,12,0,0.0,0,0.0
258,6,6,2,7,12.7053571,South,31964557,50.921,5507.264521,56,7,0.125,34,6,0.176470588,22,1,0.045454545,0,0.0
259,0,2,1,2,171.001,North,34730604,74.311,4616.552558,56,2,0.035714286,34,1,0.029411765,22,1,0.045454545,0,0.0
260,0,2,3,4,29.54943888,North,27302800,69.193,5259.327183,56,4,0.071428571,41,3,0.073170732,15,1,0.066666667,0,0.0
261,0,4,1,3,258.305,North,5413971,80.62682927,4940.610108,56,3,0.053571429,29,1,0.034482759,27,2,0.074074074,0,0.0
262,3,14,10,18,37.86751896,North,9757812,72.493,4916.379435,56,18,0.321428571,42,14,0.333333333,14,4,0.285714286,0,0.0
263,0,2,2,3,53.8068948,North,7127822,74.81219512,4584.094277,56,3,0.053571429,33,0,0.0,23,3,0.130434783,0,0.0
264,18,6,2,11,14.0771094,North,2906242,74.175,6373.497473,56,11,0.196428571,25,5,0.2,31,6,0.193548387,0,0.0
265,6,6,4,9,2.107279157,South,12146070,53.674,5507.264521,57,9,0.157894737,55,9,0.163636364,2,0,0.0,0,0.0
266,9,0,2,5,274.303,North,63240196,70.005,4669.026362,57,5,0.087719298,42,4,0.095238095,15,1,0.066666667,0,0.0
267,3,2,2,4,284.554,North,5313399,79.56829268,4940.610108,57,4,0.070175439,31,2,0.064516129,26,2,0.076923077,0,0.0
268,9,6,0,6,100.47,North,5379233,74.70487805,4608.349577,57,6,0.105263158,35,4,0.114285714,22,2,0.090909091,0,0.0
269,3,2,0,2,55.92730269,North,3558430,75.18095122,4872.616191,58,2,0.034482759,49,2,0.040816327,9,0,0.0,0,0.0
270,0,2,2,3,8.671358733,North,22516429,63.105,6596.774323,59,3,0.050847458,55,2,0.036363636,4,0,0.0,0,0.0
271,3,0,0,1,126.829,North,9859242,73.20707317,4675.567093,59,1,0.016949153,43,1,0.023255814,16,0,0.0,0,0.0
272,0,0,2,2,162.299,North,9901664,75.56585366,4675.567093,59,2,0.033898305,35,1,0.028571429,24,0,0.0,0,0.0
273,3,4,0,3,22.62750745,North,3377075,71.96097561,4777.694243,59,3,0.050847458,47,2,0.042553191,12,1,0.083333333,0,0.0
274,0,4,0,2,16.88551136,North,8888628,71.535,4570.22862,60,2,0.033333333,58,1,0.017241379,2,0,0.0,0,0.0
275,0,6,3,6,59.10523685,North,5111619,74.56219512,4769.836091,60,6,0.1,49,3,0.06122449,11,1,0.090909091,2,0.033333333
276,6,0,1,3,15.96010668,North,9378113,70.75512195,4675.567093,61,3,0.049180328,60,3,0.05,1,0,0.0,0,0.0
277,0,0,1,1,21.21189226,South,81064572,56.121,6524.317219,61,1,0.016393443,60,1,0.016666667,1,0,0.0,0,0.0
278,3,0,2,3,6.19143707,South,19146403,59.093,5507.264521,61,3,0.049180328,56,3,0.053571429,5,0,0.0,0,0.0
279,0,0,1,1,8.382519637,North,3601613,70.10804878,4777.694243,61,1,0.016393443,45,1,0.022222222,16,0,0.0,0,0.0
280,6,0,3,5,11.52477687,North,3499536,72.0195122,4777.694243,61,5,0.081967213,40,2,0.05,21,3,0.142857143,0,0.0
281,0,0,2,2,118.311,North,10289898,76.31463415,4772.6015,61,2,0.032786885,48,1,0.020833333,13,1,0.076923077,0,0.0
282,3,4,2,5,55.55250916,North,2021316,78.76585366,4572.732604,61,5,0.081967213,40,3,0.075,21,2,0.095238095,0,0.0
283,6,2,1,4,509.506,North,5018573,81.45121951,4905.527072,61,4,0.06557377,33,3,0.090909091,28,1,0.035714286,0,0.0
284,0,0,3,3,41.80128492,North,11303942,76.115,4575.978044,61,3,0.049180328,41,1,0.024390244,20,2,0.1,0,0.0
285,0,0,2,2,5.379845648,North,24307855,47.172,4946.229137,62,2,0.032258065,58,2,0.034482759,4,0,0.0,0,0.0
286,6,4,2,6,279.201,North,10156637,77.18731707,4675.567093,62,6,0.096774194,42,3,0.071428571,20,3,0.15,0,0.0
287,6,0,3,5,42.92745429,North,2987773,73.86341463,4777.694243,62,5,0.080645161,39,2,0.051282051,23,3,0.130434783,0,0.0
288,0,0,4,4,368.827,North,5234519,82.40731707,4905.527072,62,4,0.064516129,29,3,0.103448276,33,1,0.03030303,0,0.0
289,3,2,2,4,83.34953016,North,9855372,74.40487805,4675.567093,63,4,0.063492063,47,2,0.042553191,16,2,0.125,0,0.0
290,0,2,1,2,48.02002418,North,9895801,74.82912195,4570.22862,63,2,0.031746032,59,2,0.033898305,4,0,0.0,0,0.0
291,9,2,4,8,417.984,North,79563991,76.047,4946.229137,63,8,0.126984127,54,7,0.12962963,9,1,0.111111111,0,0.0
292,3,4,1,4,44.73633352,North,2065042,81.17560976,4572.732604,63,4,0.063492063,39,2,0.051282051,24,2,0.083333333,0,0.0
293,9,0,2,5,7.274144351,South,2585400,71.32926829,10162.12167,64,5,0.078125,56,3,0.053571429,8,1,0.125,1,0.015625
294,0,2,0,1,99.87123917,North,3805174,76.53658537,4872.616191,64,1,0.015625,40,0,0.0,24,1,0.041666667,0,0.0
295,6,4,2,6,57.33201515,North,5372280,73.95853659,4608.349577,64,6,0.09375,48,5,0.104166667,16,1,0.0625,0,0.0
296,9,6,4,10,408.876,North,67010930,72.004,4669.026362,64,10,0.15625,44,9,0.204545455,20,1,0.05,0,0.0
297,3,2,4,6,224.984,North,4599533,80.84634146,4872.616191,64,6,0.09375,36,4,0.111111111,28,1,0.035714286,1,0.015625
298,0,4,0,2,160.034,North,40551398,76.298,4616.552558,64,2,0.03125,54,2,0.037037037,10,0,0.0,0,0.0
299,3,0,0,1,56.3472507,North,10019610,73.71463415,4772.6015,65,1,0.015384615,55,0,0.0,10,1,0.1,0,0.0
300,6,2,3,6,51.07581509,North,110668784,45.88,5132.154627,65,6,0.092307692,49,2,0.040816327,16,4,0.25,0,0.0
301,0,0,1,1,468.395,North,1056575548,62.505,5416.461758,65,1,0.015384615,44,0,0.0,21,1,0.047619048,0,0.0
302,3,2,2,4,46.58045747,North,2057159,80.12439024,4572.732604,65,4,0.061538462,28,3,0.107142857,37,1,0.027027027,0,0.0
303,3,4,1,4,14.48055657,North,5789228,72.07780488,4591.695619,66,4,0.060606061,65,2,0.030769231,1,0,0.0,0,0.0
304,3,4,1,4,8.82303388,North,4626469,69.61634146,4940.610108,66,4,0.060606061,60,4,0.066666667,6,0,0.0,0,0.0
305,3,0,2,3,44.57589247,North,5072596,73.7397561,4769.836091,66,3,0.045454545,56,2,0.035714286,10,0,0.0,0,0.0
306,3,2,0,2,35.94227069,North,4026152,75.0395122,4905.527072,66,2,0.03030303,60,2,0.033333333,6,0,0.0,0,0.0
307,0,4,1,3,242.187,North,44254972,74.962,6596.774323,67,3,0.044776119,43,1,0.023255814,24,2,0.083333333,0,0.0
308,3,2,3,5,770.462,North,70418612,73.649,4669.026362,67,5,0.074626866,48,4,0.083333333,19,1,0.052631579,0,0.0
309,0,2,3,4,43.01808724,North,2868231,74.67073171,4777.694243,67,4,0.059701493,48,3,0.0625,19,1,0.052631579,0,0.0
310,3,8,3,8,13.50557387,North,4864883,73.12146341,4769.836091,68,8,0.117647059,64,7,0.109375,4,0,0.0,0,0.0
311,21,22,6,24,40.80952381,North,23057662,69.38804878,4620.226079,68,24,0.352941176,32,7,0.21875,36,17,0.472222222,0,0.0
312,0,2,2,3,234.782,North,10045158,76.35121951,4675.567093,68,3,0.044117647,43,1,0.023255814,25,2,0.08,0,0.0
313,0,4,1,3,54.03325033,North,7305888,74.31463415,4584.094277,68,3,0.044117647,40,1,0.025,28,2,0.071428571,0,0.0
314,3,0,0,1,381.286,North,29360827,73.037,6249.581149,68,1,0.014705882,42,1,0.023809524,26,0,0.0,0,0.0
315,6,6,0,5,101.9,North,4209488,76.2204878,4905.527072,69,5,0.072463768,44,3,0.068181818,25,1,0.04,1,0.014492754
316,0,0,1,1,45.340835,North,3724655,74.36146341,6087.802239,69,1,0.014492754,47,1,0.021276596,22,0,0.0,0,0.0
317,6,2,2,5,12.03002355,North,25864350,68.135,5259.327183,69,5,0.072463768,51,5,0.098039216,18,0,0.0,0,0.0
318,6,0,0,2,116.225,North,10399061,77.38292683,4570.22862,70,2,0.028571429,56,1,0.017857143,14,1,0.071428571,0,0.0
319,0,4,3,5,236.205,North,10251250,77.72195122,4675.567093,70,5,0.071428571,38,2,0.052631579,32,3,0.09375,0,0.0
320,6,2,1,4,125.707,North,5176209,77.46585366,4940.610108,70,4,0.057142857,40,3,0.075,30,0,0.0,0,0.0
321,3,2,2,4,13.76051397,North,24650400,67.156,5259.327183,70,4,0.057142857,52,4,0.076923077,18,0,0.0,0,0.0
322,0,0,2,2,136.386,North,135320420,47.72,5132.154627,70,2,0.028571429,24,2,0.083333333,46,0,0.0,0,0.0
323,0,2,2,3,430.294,North,8321496,80.43170732,4604.985842,70,3,0.042857143,40,1,0.025,30,2,0.066666667,0,0.0
324,12,4,7,13,81.77901235,North,31847900,71.171,5259.327183,70,13,0.185714286,47,13,0.276595745,23,0,0.0,0,0.0
325,0,0,1,1,34.63043,North,3585176,73.94636585,6087.802239,71,1,0.014084507,65,1,0.015384615,6,0,0.0,0,0.0
326,3,2,1,3,27.92503676,North,5373361,72.65365854,4608.349577,71,3,0.042253521,58,3,0.051724138,13,0,0.0,0,0.0
327,0,2,1,2,13.94889222,North,23225000,66.494,5259.327183,71,2,0.028169014,63,2,0.031746032,8,0,0.0,0,0.0
328,0,6,2,5,47.79755159,North,3198231,71.81219512,4777.694243,71,5,0.070422535,44,4,0.090909091,27,1,0.037037037,0,0.0
329,0,0,1,1,404.65,North,185960244,53.541,5132.154627,71,1,0.014084507,47,1,0.021276596,24,0,0.0,0,0.0
330,3,0,0,1,186.325,North,698952837,53.814,5416.461758,72,1,0.013888889,56,1,0.017857143,16,0,0.0,0,0.0
331,0,2,2,3,237.251,North,7959017,76.87073171,4604.985842,72,3,0.041666667,56,2,0.035714286,16,1,0.0625,0,0.0
332,6,0,0,2,122.661,North,6319408,75.45926829,4591.695619,73,2,0.02739726,67,2,0.029850746,6,0,0.0,0,0.0
333,3,0,0,1,133.339,North,7585317,75.21707317,4604.985842,73,1,0.01369863,66,1,0.015151515,7,0,0.0,0,0.0
334,0,2,0,1,709.149,North,1129623466,64.095,5416.461758,73,1,0.01369863,48,1,0.020833333,25,0,0.0,0,0.0
335,15,4,2,9,8.355380879,South,22153685,58.422,5507.264521,74,9,0.121621622,70,9,0.128571429,4,0,0.0,0,0.0
336,6,0,0,2,20.28962764,North,1988925,75.41219512,4572.732604,74,2,0.027027027,55,2,0.036363636,19,0,0.0,0,0.0
337,6,8,1,7,300.904,North,8171966,79.1804878,4604.985842,74,7,0.094594595,54,3,0.055555556,20,2,0.1,2,0.027027027
338,3,2,3,5,54.43896642,North,7492561,72.96341463,4584.094277,74,5,0.067567568,45,3,0.066666667,29,2,0.068965517,0,0.0
339,0,6,2,5,337.036,North,150269622,49.913,5132.154627,74,5,0.067567568,37,2,0.054054054,37,3,0.081081081,0,0.0
340,0,2,2,3,195.152,North,14149800,75.74317073,4712.2653,75,3,0.04,57,2,0.035087719,18,1,0.055555556,0,0.0
341,0,2,2,3,33.87588188,South,90387079,58.025,6524.317219,76,3,0.039473684,73,2,0.02739726,3,0,0.0,0,0.0
342,3,4,1,4,132.129,North,5124573,76.69341463,4940.610108,76,4,0.052631579,47,3,0.063829787,29,1,0.034482759,0,0.0
343,0,2,0,1,216.237,North,10514844,80.37317073,4772.6015,76,3,0.039473684,44,3,0.068181818,32,0,0.0,0,0.0
344,0,4,0,2,299.556,North,4755335,81.65365854,4872.616191,76,2,0.026315789,50,1,0.02,26,1,0.038461538,0,0.0
345,3,2,0,2,262.345,North,10558177,78.52439024,4772.6015,77,2,0.025974026,51,1,0.019607843,26,1,0.038461538,0,0.0
346,3,2,2,4,109.059,North,4946481,74.57707317,4940.610108,78,4,0.051282051,59,4,0.06779661,19,0,0.0,0,0.0
347,9,0,1,4,75.7864995,North,3637510,75.83170732,4872.616191,78,4,0.051282051,62,0,0.0,16,4,0.25,0,0.0
348,3,4,3,6,707.907,North,98899845,74.34,7089.643002,78,6,0.076923077,52,5,0.096153846,26,1,0.038461538,0,0.0
349,0,0,2,2,152.678,South,109790943,61.243,6524.317219,79,2,0.025316456,72,1,0.013888889,7,0,0.0,0,0.0
350,0,2,3,4,34.4147845,North,1997012,77.20731707,4572.732604,79,4,0.050632911,56,1,0.017857143,23,2,0.086956522,1,0.012658228
351,18,12,1,13,69.18875536,South,49051531,65.393,5507.264521,79,13,0.164556962,46,6,0.130434783,33,7,0.212121212,0,0.0
352,6,2,1,4,13.60483242,South,3110500,72.42195122,10162.12167,80,4,0.05,71,4,0.056338028,9,0,0.0,0,0.0
353,0,0,1,1,8.9686,North,3043854,73.19082927,6087.802239,80,1,0.0125,73,1,0.01369863,7,0,0.0,0,0.0
354,0,0,2,2,58.53900879,South,99859388,59.739,6524.317219,81,2,0.024691358,78,2,0.025641026,3,0,0.0,0,0.0
355,3,4,2,5,41.58747055,North,4304600,75.5202439,4571.386285,81,5,0.061728395,66,5,0.075757576,15,0,0.0,0,0.0
356,0,4,1,3,189.035,North,10483861,77.67073171,4772.6015,81,3,0.037037037,64,3,0.046875,17,0,0.0,0,0.0
357,0,4,4,6,1827.64,North,1265780243,67.545,5416.461758,81,6,0.074074074,58,4,0.068965517,23,2,0.086956522,0,0.0
358,0,2,1,2,21.37635311,North,9618756,70.69317073,4675.567093,82,2,0.024390244,77,2,0.025974026,5,0,0.0,0,0.0
359,12,4,0,6,31.84951377,North,4725664,71.81292683,4940.610108,83,6,0.072289157,77,6,0.077922078,6,0,0.0,0,0.0
360,0,0,2,2,181.612,North,80788725,70.062,7089.643002,83,2,0.024096386,66,2,0.03030303,17,0,0.0,0,0.0
361,9,4,8,13,45.17681159,South,3283400,74.42439024,10162.12167,83,13,0.156626506,67,7,0.104477612,16,1,0.0625,5,0.060240964
362,6,8,1,7,130.838,North,4286401,77.18439024,4905.527072,83,7,0.084337349,51,5,0.098039216,32,2,0.0625,0,0.0
363,3,4,0,3,69.44875693,North,122283853,46.267,5132.154627,83,3,0.036144578,44,1,0.022727273,39,2,0.051282051,0,0.0
364,6,2,4,7,570.304,North,7647675,81.99268293,4591.695619,83,7,0.084337349,47,5,0.106382979,36,1,0.027777778,1,0.012048193
365,6,0,2,4,1109.99,North,110815272,75.194,7089.643002,83,4,0.048192771,43,1,0.023255814,40,3,0.075,0,0.0
366,6,0,1,3,45.04413855,North,10846993,75.376,4575.978044,83,3,0.036144578,63,2,0.031746032,20,1,0.05,0,0.0
367,0,2,1,2,68.05529508,North,33733975,55.744,4946.229137,84,2,0.023809524,80,2,0.025,4,0,0.0,0,0.0
368,0,0,1,1,228.789,South,33529320,72.032,7691.760326,84,1,0.011904762,67,1,0.014925373,17,0,0.0,0,0.0
369,3,2,0,2,23.84661306,North,4557097,72.36536585,4571.386285,84,2,0.023809524,75,2,0.026666667,9,0,0.0,0,0.0
370,9,2,1,5,147.608,South,42241007,60.595,6388.892675,84,5,0.05952381,64,2,0.03125,20,3,0.15,0,0.0
371,9,10,1,9,462.25,North,4768212,80.59268293,4905.527072,84,9,0.107142857,30,5,0.166666667,54,4,0.074074074,0,0.0
372,0,2,4,5,18.94272978,North,6067714,72.5902439,4591.695619,85,5,0.058823529,81,2,0.024691358,4,0,0.0,0,0.0
373,15,6,2,10,51.60114767,North,4174349,78.02195122,4571.386285,85,10,0.117647059,66,7,0.106060606,19,3,0.157894737,0,0.0
374,12,4,6,12,52.88880095,North,4881803,74.51902439,4940.610108,86,12,0.139534884,73,11,0.150684932,13,1,0.076923077,0,0.0
375,0,4,0,2,37.20941802,North,9711115,71.40512195,4675.567093,88,2,0.022727273,82,2,0.024390244,6,0,0.0,0,0.0
376,6,2,1,4,115.553,North,5129516,74.77170732,4769.836091,88,4,0.045454545,67,2,0.029850746,21,0,0.0,0,0.0
377,3,4,2,5,112.533,North,5041992,75.45536585,4940.610108,88,5,0.056818182,60,5,0.083333333,28,0,0.0,0,0.0
378,3,0,1,2,21.63375945,North,4468302,72.80780488,4571.386285,88,2,0.022727273,63,2,0.031746032,25,0,0.0,0,0.0
379,9,0,2,5,7.766655086,North,4548543,69.22097561,4940.610108,89,5,0.056179775,84,5,0.05952381,5,0,0.0,0,0.0
380,0,0,2,2,26.43685725,South,23168268,65.989,7691.760326,89,2,0.02247191,84,2,0.023809524,5,0,0.0,0,0.0
381,3,2,1,3,9.567331065,South,2903900,71.82926829,10162.12167,89,3,0.033707865,82,3,0.036585366,7,0,0.0,0,0.0
