Country Code,Male,Female,Total,Year
AFG,4,2,6,2020
ALB,6,3,9,2020
ALG,31,13,44,2020
AND,1,1,2,2020
ANG,4,16,20,2020
ANT,3,3,6,2020
ARG,136,59,195,2020
ARM,14,3,17,2020
ARU,2,1,3,2020
ASA,5,1,6,2020
AUS,233,266,499,2020
AUT,36,39,75,2020
AZE,29,16,45,2020
BAH,6,10,16,2020
BAN,4,2,6,2020
BAR,4,4,8,2020
BDI,3,3,6,2020
BEL,72,57,129,2020
BEN,4,3,7,2020
BER,1,1,2,2020
BHU,2,2,4,2020
BIH,4,3,7,2020
BIZ,2,1,3,2020
BLR,46,65,111,2020
BOL,3,2,5,2020
BOT,8,5,13,2020
BRA,171,154,325,2020
BRN,26,7,33,2020
BRU,3,0,3,2020
BUL,14,28,42,2020
BUR,5,2,7,2020
CAF,1,1,2,2020
CAM,2,1,3,2020
CAN,154,240,394,2020
CAY,2,3,5,2020
CGO,1,2,3,2020
CHA,1,2,3,2020
CHI,20,38,58,2020
CHN,136,299,435,2020
CIV,26,6,32,2020
CMR,5,7,12,2020
COD,3,4,7,2020
COK,3,3,6,2020
COL,47,23,70,2020
COM,2,1,3,2020
CPV,3,3,6,2020
CRC,6,7,13,2020
CRO,41,20,61,2020
CUB,36,33,69,2020
CYP,9,6,15,2020
CZE,75,44,119,2020
DEN,58,52,110,2020
DJI,3,1,4,2020
DMA,1,1,2,2020
DOM,44,31,75,2020
ECU,17,30,47,2020
EGY,95,51,146,2020
EOR,19,10,29,2020
ERI,9,5,14,2020
ESA,3,2,5,2020
ESP,203,144,347,2020
EST,20,14,34,2020
ETH,19,25,44,2020
FIJ,16,18,34,2020
FIN,22,26,48,2020
FRA,225,178,403,2020
FSM,2,1,3,2020
GAB,3,2,5,2020
GAM,3,1,4,2020
GBR,183,208,391,2020
GBS,3,1,4,2020
GEO,29,6,35,2020
GEQ,2,1,3,2020
GER,247,172,419,2020
GHA,12,2,14,2020
GRE,47,36,83,2020
GRN,4,2,6,2020
GUA,14,10,24,2020
GUI,2,3,5,2020
GUM,2,3,5,2020
GUY,3,4,7,2020
HAI,2,4,6,2020
HKG,17,26,43,2020
HON,26,3,29,2020
HUN,82,95,177,2020
INA,16,12,28,2020
IND,70,56,126,2020
IRI,57,11,68,2020
IRL,64,58,122,2020
IRQ,2,2,4,2020
ISL,3,1,4,2020
ISR,57,35,92,2020
ISV,3,1,4,2020
ITA,197,185,382,2020
IVB,1,2,3,2020
JAM,31,34,65,2020
JOR,10,4,14,2020
JPN,329,293,622,2020
KAZ,64,33,97,2020
KEN,39,50,89,2020
KGZ,11,6,17,2020
KIR,2,1,3,2020
KOR,137,107,244,2020
KOS,5,6,11,2020
KSA,33,2,35,2020
KUW,8,2,10,2020
LAO,2,2,4,2020
LAT,20,13,33,2020
LBA,3,1,4,2020
LBN,3,3,6,2020
LBR,2,1,3,2020
LCA,2,3,5,2020
LES,1,1,2,2020
LIE,2,3,5,2020
LTU,25,16,41,2020
LUX,8,4,12,2020
MAD,4,2,6,2020
MAR,34,14,48,2020
MAS,12,18,30,2020
MAW,2,3,5,2020
MDA,9,11,20,2020
MDV,2,2,4,2020
MEX,102,66,168,2020
MGL,18,25,43,2020
MHL,1,1,2,2020
MKD,5,3,8,2020
MLI,3,1,4,2020
MLT,2,4,6,2020
MNE,16,20,36,2020
MON,3,3,6,2020
MOZ,4,6,10,2020
MRI,6,2,8,2020
MTN,1,1,2,2020
MYA,1,2,3,2020
NAM,6,6,12,2020
NCA,4,5,9,2020
NED,118,171,289,2020
NEP,1,4,5,2020
NGR,27,35,62,2020
NIG,4,3,7,2020
NOR,59,35,94,2020
NRU,1,1,2,2020
NZL,120,111,231,2020
OMA,4,1,5,2020
PAK,7,3,10,2020
PAN,4,6,10,2020
PAR,3,5,8,2020
PER,19,16,35,2020
PHI,9,10,19,2020
PLE,3,2,5,2020
PLW,2,1,3,2020
PNG,4,4,8,2020
POL,114,104,218,2020
POR,60,36,96,2020
PUR,13,24,37,2020
QAT,13,3,16,2020
ROC,151,194,345,2020
ROU,59,47,106,2020
RSA,129,67,196,2020
RWA,4,2,6,2020
SAM,7,1,8,2020
SEN,6,3,9,2020
SEY,4,1,5,2020
SGP,6,17,23,2020
SKN,1,1,2,2020
SLE,2,2,4,2020
SLO,29,25,54,2020
SMR,3,2,5,2020
SOL,1,2,3,2020
SOM,1,1,2,2020
SRB,44,44,88,2020
SRI,4,5,9,2020
SSD,1,1,2,2020
STP,2,1,3,2020
SUD,3,2,5,2020
SUI,60,59,119,2020
SUR,2,0,2,2020
SVK,28,14,42,2020
SWE,56,79,135,2020
SWZ,3,1,4,2020
SYR,5,1,6,2020
TAN,2,1,3,2020
TGA,3,3,6,2020
THA,15,27,42,2020
TJK,9,2,11,2020
TKM,5,4,9,2020
TLS,2,1,3,2020
TOG,3,1,4,2020
TPE,34,36,70,2020
TTO,19,11,30,2020
TUN,34,29,63,2020
TUR,58,50,108,2020
TUV,1,1,2,2020
UAE,5,0,5,2020
UGA,12,14,26,2020
UKR,70,92,162,2020
URU,6,5,11,2020
USA,293,339,632,2020
UZB,37,33,70,2020
VAN,3,0,3,2020
VEN,31,13,44,2020
VIE,8,10,18,2020
VIN,1,2,3,2020
YEM,3,2,5,2020
ZAM,6,24,30,2020
ZIM,4,1,5,2020
