Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP (USD Mil)
Netherlands,NLD,2,4,4,10,1964,Tokyo,JPN,
Bulgaria,BGR,3,5,2,10,1964,Tokyo,JPN,
Pakistan,PAK,0,1,0,1,1964,Tokyo,JPN,
Brazil,BRA,0,0,1,1,1964,Tokyo,JPN,
Italy,ITA,10,10,7,27,1964,Tokyo,JPN,
Sweden,SWE,2,2,4,8,1964,Tokyo,JPN,24401.202
Uruguay,URY,0,0,1,1,1964,Tokyo,JPN,
Ireland,IRL,0,0,1,1,1964,Tokyo,JPN,
Japan,JPN,16,5,8,29,1964,Tokyo,JPN,
Iran,IRN,0,0,2,2,1964,Tokyo,JPN,
Cuba,CUB,0,1,0,1,1964,Tokyo,JPN,
Switzerland,CHE,1,2,1,4,1964,Tokyo,JPN,
India,IND,1,0,0,1,1964,Tokyo,JPN,
Kenya,KEN,0,0,1,1,1964,Tokyo,JPN,
Philippines,PHL,0,1,0,1,1964,Tokyo,JPN,
Hungary,HUN,10,7,5,22,1964,Tokyo,JPN,
United States,USA,36,26,28,90,1964,Tokyo,JPN,
Romania,ROU,2,4,6,12,1964,Tokyo,JPN,
Yugoslavia,YUG,2,1,2,5,1964,Tokyo,JPN,
Ghana,GHA,0,0,1,1,1964,Tokyo,JPN,
Argentina,ARG,0,1,0,1,1964,Tokyo,JPN,
New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN,
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN,
Australia,AUS,6,2,10,18,1964,Tokyo,JPN,32694.467
Russia,RUS,30,31,35,96,1964,Tokyo,JPN,
Germany,DEU,10,22,18,50,1964,Tokyo,JPN,
Poland,POL,7,6,10,23,1964,Tokyo,JPN,
South Korea,KOR,0,2,1,3,1964,Tokyo,JPN,
France,FRA,1,8,6,15,1964,Tokyo,JPN,113249.46
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,
Finland,FIN,3,0,2,5,1964,Tokyo,JPN,
Canada,CAN,1,2,1,4,1964,Tokyo,JPN,56477.8
Trinidad and Tobago,TTO,0,1,2,3,1964,Tokyo,JPN,
United Kingdom,GBR,4,12,2,18,1964,Tokyo,JPN,138405.51
Nigeria,NGA,0,0,1,1,1964,Tokyo,JPN,
Turkey,TUR,2,3,1,6,1964,Tokyo,JPN,
Tunisia,TUN,0,1,1,2,1964,Tokyo,JPN,
Denmark,DNK,2,1,3,6,1964,Tokyo,JPN,
Ethiopia,ETH,1,0,0,1,1964,Tokyo,JPN,
Belgium,BEL,2,0,1,3,1964,Tokyo,JPN,
Bahamas,BHS,1,0,0,1,1964,Tokyo,JPN,
Czech Republic,CZE,7,2,4,13,1968,Mexico City,MEX,
France,FRA,7,3,5,15,1968,Mexico City,MEX,157794.703
Mexico,MEX,3,3,3,9,1968,Mexico City,MEX,
Finland,FIN,1,2,1,4,1968,Mexico City,MEX,
Mongolia,MNG,0,1,3,4,1968,Mexico City,MEX,
Tunisia,TUN,1,0,1,2,1968,Mexico City,MEX,
Turkey,TUR,2,0,0,2,1968,Mexico City,MEX,
Denmark,DNK,1,4,3,8,1968,Mexico City,MEX,19448.084
Netherlands,NLD,3,3,1,7,1968,Mexico City,MEX,
Germany,DEU,9,9,7,25,1968,Mexico City,MEX,
Poland,POL,5,2,11,18,1968,Mexico City,MEX,
Romania,ROU,4,6,5,15,1968,Mexico City,MEX,
Venezuela,VEN,1,0,0,1,1968,Mexico City,MEX,
Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,
Russia,RUS,29,32,30,91,1968,Mexico City,MEX,
Belgium,BEL,0,1,1,2,1968,Mexico City,MEX,
Australia,AUS,5,7,5,17,1968,Mexico City,MEX,46488.435
Austria,AUT,0,2,2,4,1968,Mexico City,MEX,
Yugoslavia,YUG,3,3,2,8,1968,Mexico City,MEX,
South Korea,KOR,0,1,1,2,1968,Mexico City,MEX,
Pakistan,PAK,1,0,0,1,1968,Mexico City,MEX,
Germany,DEU,5,11,10,26,1968,Mexico City,MEX,
Sweden,SWE,2,1,1,4,1968,Mexico City,MEX,31794.557
Greece,GRC,0,0,1,1,1968,Mexico City,MEX,20016.157
Cuba,CUB,0,4,0,4,1968,Mexico City,MEX,
United Kingdom,GBR,5,5,3,13,1968,Mexico City,MEX,180450.377
Cameroon,CMR,0,1,0,1,1968,Mexico City,MEX,
Bulgaria,BGR,2,4,3,9,1968,Mexico City,MEX,
Brazil,BRA,0,1,2,3,1968,Mexico City,MEX,
United States,USA,45,28,34,107,1968,Mexico City,MEX,
New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,
Canada,CAN,1,3,1,5,1968,Mexico City,MEX,80115.42
Norway,NOR,1,1,0,2,1968,Mexico City,MEX,
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX,
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,
Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,
Italy,ITA,3,4,9,16,1968,Mexico City,MEX,
Japan,JPN,11,7,7,25,1968,Mexico City,MEX,
Iran,IRN,2,1,2,5,1968,Mexico City,MEX,
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,
India,IND,0,0,1,1,1968,Mexico City,MEX,
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX,
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,
Pakistan,PAK,0,1,0,1,1972,Munich,DEU,
Germany,DEU,20,23,23,66,1972,Munich,DEU,369740.5
Uganda,UGA,1,1,0,2,1972,Munich,DEU,
Norway,NOR,2,1,1,4,1972,Munich,DEU,15873.192
Turkey,TUR,0,1,0,1,1972,Munich,DEU,77952.83
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,
Niger,NER,0,0,1,1,1972,Munich,DEU,
United States,USA,33,31,30,94,1972,Munich,DEU,1279110
Ghana,GHA,0,0,1,1,1972,Munich,DEU,
Denmark,DNK,1,0,0,1,1972,Munich,DEU,24557.097
Jamaica,JAM,0,0,1,1,1972,Munich,DEU,
France,FRA,2,4,7,13,1972,Munich,DEU,230914.012
Romania,ROU,3,6,7,16,1972,Munich,DEU,
Finland,FIN,3,1,4,8,1972,Munich,DEU,18790.37
Mexico,MEX,0,1,0,1,1972,Munich,DEU,116543.715
Sweden,SWE,4,6,6,16,1972,Munich,DEU,44547.788
Brazil,BRA,0,0,2,2,1972,Munich,DEU,
Russia,RUS,50,27,22,99,1972,Munich,DEU,
Italy,ITA,5,3,10,18,1972,Munich,DEU,225680.458
South Korea,KOR,0,1,0,1,1972,Munich,DEU,25143.934
Australia,AUS,8,7,2,17,1972,Munich,DEU,69667.086
Greece,GRC,0,2,0,2,1972,Munich,DEU,35764.102
Bulgaria,BGR,6,10,5,21,1972,Munich,DEU,
Switzerland,CHE,0,3,0,3,1972,Munich,DEU,55913.069
Canada,CAN,0,2,3,5,1972,Munich,DEU,119639.463
India,IND,0,0,1,1,1972,Munich,DEU,169179.026
Colombia,COL,0,1,2,3,1972,Munich,DEU,
Belgium,BEL,0,2,0,2,1972,Munich,DEU,44552.011
Japan,JPN,13,8,8,29,1972,Munich,DEU,424630.55
Mongolia,MNG,0,1,0,1,1972,Munich,DEU,
Lebanon,LBN,0,1,0,1,1972,Munich,DEU,
Iran,IRN,0,2,1,3,1972,Munich,DEU,
North Korea,PRK,1,1,3,5,1972,Munich,DEU,
Ethiopia,ETH,0,0,2,2,1972,Munich,DEU,
Tunisia,TUN,0,1,0,1,1972,Munich,DEU,
Argentina,ARG,0,1,0,1,1972,Munich,DEU,
Poland,POL,7,5,9,21,1972,Munich,DEU,
United Kingdom,GBR,4,5,9,18,1972,Munich,DEU,238046.267
Austria,AUT,0,1,2,3,1972,Munich,DEU,34904.601
Germany,DEU,13,11,16,40,1972,Munich,DEU,369740.5
Spain,ESP,0,0,1,1,1972,Munich,DEU,117546.194
Netherlands,NLD,3,1,1,5,1972,Munich,DEU,67347.664
Cuba,CUB,3,1,4,8,1972,Munich,DEU,
Czech Republic,CZE,2,4,2,8,1972,Munich,DEU,
Hungary,HUN,6,13,16,35,1972,Munich,DEU,
Kenya,KEN,2,3,4,9,1972,Munich,DEU,
New Zealand,NZL,1,1,1,3,1972,Munich,DEU,13729.266
Nigeria,NGA,0,0,1,1,1972,Munich,DEU,
Bulgaria,BGR,6,9,7,22,1976,Montreal,CAN,
Canada,CAN,0,5,6,11,1976,Montreal,CAN,187951.588
Romania,ROU,4,9,14,27,1976,Montreal,CAN,
South Korea,KOR,1,1,4,6,1976,Montreal,CAN,51197.085
Trinidad and Tobago,TTO,1,0,0,1,1976,Montreal,CAN,
Germany,DEU,10,12,17,39,1976,Montreal,CAN,538940.87
Netherlands,NLD,0,2,3,5,1976,Montreal,CAN,103280.265
Jamaica,JAM,1,1,0,2,1976,Montreal,CAN,
Thailand,THA,0,0,1,1,1976,Montreal,CAN,
Austria,AUT,0,0,1,1,1976,Montreal,CAN,52552.426
Iran,IRN,0,1,1,2,1976,Montreal,CAN,
Mongolia,MNG,0,1,0,1,1976,Montreal,CAN,
United States,USA,34,35,25,94,1976,Montreal,CAN,1873412
Finland,FIN,4,2,0,6,1976,Montreal,CAN,28098.137
United Kingdom,GBR,3,5,5,13,1976,Montreal,CAN,332293.854
Russia,RUS,49,41,35,125,1976,Montreal,CAN,
Japan,JPN,9,6,10,25,1976,Montreal,CAN,643714.092
Germany,DEU,40,25,25,90,1976,Montreal,CAN,538940.87
North Korea,PRK,1,1,0,2,1976,Montreal,CAN,
Sweden,SWE,4,1,0,5,1976,Montreal,CAN,65651.664
New Zealand,NZL,2,1,1,4,1976,Montreal,CAN,20369.938
Belgium,BEL,0,3,3,6,1976,Montreal,CAN,68068.838
Italy,ITA,2,7,4,13,1976,Montreal,CAN,354559.402
Bermuda,BMU,0,0,1,1,1976,Montreal,CAN,
Denmark,DNK,1,0,2,3,1976,Montreal,CAN,34966.278
Puerto Rico,PRI,0,0,1,1,1976,Montreal,CAN,
Brazil,BRA,0,0,2,2,1976,Montreal,CAN,
Pakistan,PAK,0,0,1,1,1976,Montreal,CAN,
Venezuela,VEN,0,1,0,1,1976,Montreal,CAN,
Poland,POL,7,6,13,26,1976,Montreal,CAN,
Yugoslavia,YUG,2,3,3,8,1976,Montreal,CAN,
Mexico,MEX,1,0,1,2,1976,Montreal,CAN,195611.88
Australia,AUS,0,1,4,5,1976,Montreal,CAN,104079.405
Hungary,HUN,4,5,13,22,1976,Montreal,CAN,
Czech Republic,CZE,2,2,4,8,1976,Montreal,CAN,
Portugal,PRT,0,2,0,2,1976,Montreal,CAN,35123.603
France,FRA,2,3,4,9,1976,Montreal,CAN,350844.298
Cuba,CUB,6,4,3,13,1976,Montreal,CAN,
Spain,ESP,0,2,0,2,1976,Montreal,CAN,184211.01
Norway,NOR,1,1,0,2,1976,Montreal,CAN,25382.781
Switzerland,CHE,1,1,2,4,1976,Montreal,CAN,70824.285
Venezuela,VEN,0,1,0,1,1980,Moscow,RUS,
Jamaica,JAM,0,0,3,3,1980,Moscow,RUS,
Bulgaria,BGR,8,16,17,41,1980,Moscow,RUS,
Russia,RUS,80,69,46,195,1980,Moscow,RUS,
India,IND,1,0,0,1,1980,Moscow,RUS,400332.653
Brazil,BRA,2,0,2,4,1980,Moscow,RUS,
Italy,ITA,8,3,4,15,1980,Moscow,RUS,552301.133
Spain,ESP,1,3,2,6,1980,Moscow,RUS,263827.978
Netherlands,NLD,0,1,2,3,1980,Moscow,RUS,152317.305
Uganda,UGA,0,1,0,1,1980,Moscow,RUS,
Belgium,BEL,1,0,0,1,1980,Moscow,RUS,101107.507
Cuba,CUB,8,7,5,20,1980,Moscow,RUS,
Switzerland,CHE,2,0,0,2,1980,Moscow,RUS,104833.186
Poland,POL,3,14,15,32,1980,Moscow,RUS,
Sweden,SWE,3,3,6,12,1980,Moscow,RUS,93187.363
Romania,ROU,6,6,13,25,1980,Moscow,RUS,
Ireland,IRL,0,1,1,2,1980,Moscow,RUS,22409.778
Zimbabwe,ZWE,1,0,0,1,1980,Moscow,RUS,
United Kingdom,GBR,5,7,9,21,1980,Moscow,RUS,484057.29
Tanzania,TZA,0,2,0,2,1980,Moscow,RUS,
France,FRA,6,5,3,14,1980,Moscow,RUS,532935.642
Mexico,MEX,0,1,3,4,1980,Moscow,RUS,347662.92
Hungary,HUN,7,10,15,32,1980,Moscow,RUS,
Germany,DEU,47,37,42,126,1980,Moscow,RUS,813434.564
Ethiopia,ETH,2,0,2,4,1980,Moscow,RUS,
Czech Republic,CZE,2,3,9,14,1980,Moscow,RUS,
Finland,FIN,3,1,4,8,1980,Moscow,RUS,43930.08
North Korea,PRK,0,3,2,5,1980,Moscow,RUS,
Greece,GRC,1,0,2,3,1980,Moscow,RUS,83957.603
Yugoslavia,YUG,2,3,4,9,1980,Moscow,RUS,
Denmark,DNK,2,1,2,5,1980,Moscow,RUS,50526.186
Mongolia,MNG,0,2,2,4,1980,Moscow,RUS,
Guyana,GUY,0,0,1,1,1980,Moscow,RUS,
Austria,AUT,1,2,1,4,1980,Moscow,RUS,79284.374
Australia,AUS,2,2,5,9,1980,Moscow,RUS,154714.29
Lebanon,LBN,0,0,1,1,1980,Moscow,RUS,
Kenya,KEN,1,0,2,3,1984,Los Angeles,USA,
Morocco,MAR,2,0,0,2,1984,Los Angeles,USA,
Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA,
Turkey,TUR,0,0,3,3,1984,Los Angeles,USA,277295.985
Syria,SYR,0,1,0,1,1984,Los Angeles,USA,
Colombia,COL,0,1,0,1,1984,Los Angeles,USA,83008.015
China,CHN,15,8,9,32,1984,Los Angeles,USA,557434.947
Yugoslavia,YUG,7,4,7,18,1984,Los Angeles,USA,
Puerto Rico,PRI,0,1,1,2,1984,Los Angeles,USA,
Romania,ROU,20,16,17,53,1984,Los Angeles,USA,
Netherlands,NLD,5,2,6,13,1984,Los Angeles,USA,196463.943
Chinese Taipei,TPE,0,0,1,1,1984,Los Angeles,USA,
Japan,JPN,10,8,14,32,1984,Los Angeles,USA,1501037.357
Switzerland,CHE,0,4,4,8,1984,Los Angeles,USA,136361.18
Egypt,EGY,0,1,0,1,1984,Los Angeles,USA,
South Korea,KOR,6,6,7,19,1984,Los Angeles,USA,166844.324
Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA,
Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA,
Denmark,DNK,0,3,3,6,1984,Los Angeles,USA,69592.53
Austria,AUT,1,1,1,3,1984,Los Angeles,USA,104119.538
Spain,ESP,1,2,2,5,1984,Los Angeles,USA,345784.114
Portugal,PRT,1,0,2,3,1984,Los Angeles,USA,71952.93
Greece,GRC,0,1,1,2,1984,Los Angeles,USA,103186.985
New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA,40034.179
Brazil,BRA,1,5,2,8,1984,Los Angeles,USA,
Iceland,ISL,0,0,1,1,1984,Los Angeles,USA,3845.445
Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA,
Canada,CAN,10,18,16,44,1984,Los Angeles,USA,390501.086
Sweden,SWE,2,11,6,19,1984,Los Angeles,USA,125968.558
Germany,DEU,17,19,23,59,1984,Los Angeles,USA,1064486.011
Ireland,IRL,0,1,0,1,1984,Los Angeles,USA,30851.409
Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,
Norway,NOR,0,1,2,3,1984,Los Angeles,USA,56532.699
Belgium,BEL,1,1,2,4,1984,Los Angeles,USA,130453.59
Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA,
Ivory Coast,CIV,0,1,0,1,1984,Los Angeles,USA,
France,FRA,5,7,16,28,1984,Los Angeles,USA,710063.913
Peru,PER,0,1,0,1,1984,Los Angeles,USA,
Algeria,DZA,0,0,2,2,1984,Los Angeles,USA,
Italy,ITA,14,6,12,32,1984,Los Angeles,USA,730858.933
Australia,AUS,4,8,12,24,1984,Los Angeles,USA,211307.195
Mexico,MEX,2,3,1,6,1984,Los Angeles,USA,465959.073
Jamaica,JAM,0,1,2,3,1984,Los Angeles,USA,
United Kingdom,GBR,5,11,21,37,1984,Los Angeles,USA,653312.635
Finland,FIN,4,2,6,12,1984,Los Angeles,USA,61133.087
United States,USA,83,61,30,174,1984,Los Angeles,USA,4037613
Thailand,THA,0,1,0,1,1984,Los Angeles,USA,
Mongolia,MNG,0,0,1,1,1988,Seoul,KOR,
Senegal,SEN,0,1,0,1,1988,Seoul,KOR,
Czech Republic,CZE,3,3,2,8,1988,Seoul,KOR,
U.S. Virgin Islands,VIR,0,1,0,1,1988,Seoul,KOR,
Colombia,COL,0,0,1,1,1988,Seoul,KOR,111458.759
New Zealand,NZL,3,2,8,13,1988,Seoul,KOR,45948.52
Poland,POL,2,5,9,16,1988,Seoul,KOR,
Netherlands,NLD,2,2,5,9,1988,Seoul,KOR,243853.563
Costa Rica,CRI,0,1,0,1,1988,Seoul,KOR,
Philippines,PHL,0,0,1,1,1988,Seoul,KOR,
Turkey,TUR,1,1,0,2,1988,Seoul,KOR,386102.488
France,FRA,6,4,6,16,1988,Seoul,KOR,885681.871
Norway,NOR,2,3,0,5,1988,Seoul,KOR,70349.952
Finland,FIN,1,1,2,4,1988,Seoul,KOR,79142.893
Romania,ROU,7,11,6,24,1988,Seoul,KOR,
Brazil,BRA,1,2,3,6,1988,Seoul,KOR,
Belgium,BEL,0,0,2,2,1988,Seoul,KOR,161512.644
Mexico,MEX,0,0,2,2,1988,Seoul,KOR,530653.793
Peru,PER,0,1,0,1,1988,Seoul,KOR,
Australia,AUS,3,6,5,14,1988,Seoul,KOR,282358.294
Bulgaria,BGR,10,12,13,35,1988,Seoul,KOR,
Pakistan,PAK,0,0,1,1,1988,Seoul,KOR,
Austria,AUT,1,0,0,1,1988,Seoul,KOR,127618.385
Netherlands Antilles,ANT,0,1,0,1,1988,Seoul,KOR,
Denmark,DNK,2,1,1,4,1988,Seoul,KOR,84975.149
United States,USA,36,31,27,94,1988,Seoul,KOR,5236438
Chile,CHL,0,1,0,1,1988,Seoul,KOR,50494.26
China,CHN,5,11,12,28,1988,Seoul,KOR,955150.422
Thailand,THA,0,0,1,1,1988,Seoul,KOR,
Switzerland,CHE,0,2,2,4,1988,Seoul,KOR,168670.151
Italy,ITA,6,4,4,14,1988,Seoul,KOR,927681.412
Germany,DEU,11,14,15,40,1988,Seoul,KOR,1308145.382
Spain,ESP,1,1,2,4,1988,Seoul,KOR,452423.433
Greece,GRC,0,0,1,1,1988,Seoul,KOR,121000.321
Argentina,ARG,0,1,1,2,1988,Seoul,KOR,
Indonesia,IDN,0,1,0,1,1988,Seoul,KOR,
Jamaica,JAM,0,2,0,2,1988,Seoul,KOR,
Japan,JPN,4,3,7,14,1988,Seoul,KOR,2037908.958
