Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP (USD Mil)
Azerbaijan,AZE,1,0,4,5,2004,Athens,GRC,
Canada,CAN,3,6,3,12,2004,Athens,GRC,1083146.524
Venezuela,VEN,0,0,2,2,2004,Athens,GRC,
Latvia,LVA,0,4,0,4,2004,Athens,GRC,27699.88
Austria,AUT,2,4,1,7,2004,Athens,GRC,275769.77
Germany,DEU,13,16,20,49,2004,Athens,GRC,2583409.013
Georgia,GEO,2,2,0,4,2004,Athens,GRC,
Lithuania,LTU,1,2,0,3,2004,Athens,GRC,43968.09
France,FRA,11,9,13,33,2004,Athens,GRC,1820723.319
South Africa,ZAF,1,3,2,6,2004,Athens,GRC,431832.392
Chile,CHL,2,0,1,3,2004,Athens,GRC,189179.005
Thailand,THA,3,1,4,8,2004,Athens,GRC,
Ethiopia,ETH,2,3,2,7,2004,Athens,GRC,
Brazil,BRA,5,2,3,10,2004,Athens,GRC,1922011.09
United States,USA,36,39,26,101,2004,Athens,GRC,12213730
Belgium,BEL,1,0,2,3,2004,Athens,GRC,333856.905
Australia,AUS,17,16,17,50,2004,Athens,GRC,675038.955
Finland,FIN,0,2,0,2,2004,Athens,GRC,162992.94
Mexico,MEX,0,3,1,4,2004,Athens,GRC,1263142.485
Italy,ITA,10,11,11,32,2004,Athens,GRC,1703460.096
France,FRA,7,16,20,43,2008,Beijing,CHN,2259255.844
Jamaica,JAM,5,4,2,11,2008,Beijing,CHN,
Egypt,EGY,0,0,2,2,2008,Beijing,CHN,
Estonia,EST,1,1,0,2,2008,Beijing,CHN,30525.864
Ethiopia,ETH,4,2,1,7,2008,Beijing,CHN,
Italy,ITA,8,9,10,27,2008,Beijing,CHN,2089717.307
Israel,ISR,0,0,1,1,2008,Beijing,CHN,200719.741
Finland,FIN,1,1,2,4,2008,Beijing,CHN,212980.742
Japan,JPN,9,8,8,25,2008,Beijing,CHN,4517267.524
Iceland,ISL,0,1,0,1,2008,Beijing,CHN,13879.916
Iran,IRN,1,0,1,2,2008,Beijing,CHN,
Indonesia,IDN,1,1,4,6,2008,Beijing,CHN,1986656.18
Georgia,GEO,3,2,2,7,2008,Beijing,CHN,
Germany,DEU,16,11,14,41,2008,Beijing,CHN,3103958.247
Greece,GRC,0,2,1,3,2008,Beijing,CHN,341817.829
India,IND,1,0,2,3,2008,Beijing,CHN,4339909.661
Ecuador,ECU,0,1,0,1,2008,Beijing,CHN,
Ireland,IRL,0,1,2,3,2008,Beijing,CHN,198299.13
Cameroon,CMR,1,0,0,1,2008,Beijing,CHN,
Canada,CAN,3,9,8,20,2008,Beijing,CHN,1342396.613
Morocco,MAR,0,1,1,2,2008,Beijing,CHN,188405.513
Armenia,ARM,0,1,4,5,2008,Beijing,CHN,
Dominican Republic,DOM,1,1,0,2,2008,Beijing,CHN,
Austria,AUT,0,1,2,3,2008,Beijing,CHN,343812.976
Azerbaijan,AZE,1,1,4,6,2008,Beijing,CHN,
North Korea,PRK,2,2,2,6,2008,Beijing,CHN,
Bulgaria,BGR,1,1,3,5,2008,Beijing,CHN,107410.912
Algeria,DZA,0,1,1,2,2008,Beijing,CHN,
Brazil,BRA,3,4,10,17,2008,Beijing,CHN,2556454.782
Netherlands,NLD,7,5,4,16,2008,Beijing,CHN,763407.575
Australia,AUS,14,15,17,46,2008,Beijing,CHN,851983.13
Argentina,ARG,2,0,4,6,2008,Beijing,CHN,697557.859
Bahamas,BHS,0,1,1,2,2008,Beijing,CHN,
Portugal,PRT,1,1,0,2,2008,Beijing,CHN,281542.549
Belgium,BEL,2,0,0,2,2008,Beijing,CHN,405729.43
Nigeria,NGA,0,3,2,5,2008,Beijing,CHN,
Panama,PAN,1,0,0,1,2008,Beijing,CHN,
New Zealand,NZL,3,2,4,9,2008,Beijing,CHN,127057.687
Norway,NOR,3,5,1,9,2008,Beijing,CHN,294277.831
Poland,POL,4,5,2,11,2008,Beijing,CHN,697829.214
Belarus,BLR,3,4,7,14,2008,Beijing,CHN,
Malaysia,MYS,0,1,0,1,2008,Beijing,CHN,
Mongolia,MNG,2,2,0,4,2008,Beijing,CHN,
Latvia,LVA,1,1,1,3,2008,Beijing,CHN,42500.525
Moldova,MDA,0,0,1,1,2008,Beijing,CHN,
Sudan,SDN,0,1,0,1,2008,Beijing,CHN,
Singapore,SGP,0,1,0,1,2008,Beijing,CHN,327263.784
Uzbekistan,UZB,0,1,3,4,2008,Beijing,CHN,
Venezuela,VEN,0,0,1,1,2008,Beijing,CHN,
Thailand,THA,2,2,2,6,2008,Beijing,CHN,
Togo,TGO,0,0,1,1,2008,Beijing,CHN,
Slovakia,SVK,3,3,0,6,2008,Beijing,CHN,127626.827
Slovenia,SVN,1,2,2,5,2008,Beijing,CHN,59839.586
Tajikistan,TJK,0,1,1,2,2008,Beijing,CHN,
Trinidad and Tobago,TTO,1,1,0,2,2008,Beijing,CHN,
United Kingdom,GBR,19,13,19,51,2008,Beijing,CHN,2264898.174
United States,USA,36,39,37,112,2008,Beijing,CHN,14712845
Vietnam,VNM,0,1,0,1,2008,Beijing,CHN,
Samoa,WSM,0,1,0,1,2008,Beijing,CHN,
Ukraine,UKR,7,4,11,22,2008,Beijing,CHN,
Sweden,SWE,0,4,1,5,2008,Beijing,CHN,388684.19
Spain,ESP,5,11,3,19,2008,Beijing,CHN,1528583.756
Serbia,SRB,0,1,2,3,2008,Beijing,CHN,
Switzerland,CHE,2,1,4,7,2008,Beijing,CHN,413714.827
Romania,ROU,4,1,4,9,2008,Beijing,CHN,344669.95
Tunisia,TUN,1,0,0,1,2008,Beijing,CHN,
Turkey,TUR,1,1,3,5,2008,Beijing,CHN,1139548.435
South Korea,KOR,13,11,8,32,2008,Beijing,CHN,1468996.086
China,CHN,48,22,30,100,2008,Beijing,CHN,10033233.9
Chinese Taipei,TPE,1,1,2,4,2008,Beijing,CHN,
Mexico,MEX,2,0,2,4,2008,Beijing,CHN,1653898.19
Mauritius,MUS,0,0,1,1,2008,Beijing,CHN,
Hungary,HUN,3,5,2,10,2008,Beijing,CHN,207757.652
Croatia,HRV,0,2,3,5,2008,Beijing,CHN,89507.429
Kazakhstan,KAZ,2,3,4,9,2008,Beijing,CHN,
Lithuania,LTU,0,3,2,5,2008,Beijing,CHN,66270.653
Chile,CHL,0,1,0,1,2008,Beijing,CHN,275716.447
Cuba,CUB,3,10,17,30,2008,Beijing,CHN,
Kyrgyzstan,KGZ,0,1,2,3,2008,Beijing,CHN,
South Africa,ZAF,0,1,0,1,2008,Beijing,CHN,580492.268
Russia,RUS,24,13,23,60,2008,Beijing,CHN,3091455.591
Afghanistan,AFG,0,0,1,1,2008,Beijing,CHN,
Colombia,COL,0,2,1,3,2008,Beijing,CHN,445994.474
Denmark,DNK,2,2,3,7,2008,Beijing,CHN,226767.494
Czech Republic,CZE,3,3,1,7,2008,Beijing,CHN,290503.947
Kenya,KEN,6,4,6,16,2008,Beijing,CHN,
Zimbabwe,ZWE,1,3,0,4,2008,Beijing,CHN,
Lithuania,LTU,2,0,3,5,2012,London,GBR,73809.042
Latvia,LVA,1,0,1,2,2012,London,GBR,43549.741
Kuwait,KWT,0,0,1,1,2012,London,GBR,
Netherlands,NLD,6,6,8,20,2012,London,GBR,792041.828
Kenya,KEN,2,4,7,13,2012,London,GBR,
South Korea,KOR,13,9,8,30,2012,London,GBR,1684562.928
Serbia,SRB,1,1,2,4,2012,London,GBR,
New Zealand,NZL,6,2,5,13,2012,London,GBR,145417.047
Saudi Arabia,SAU,0,0,1,1,2012,London,GBR,1672470.749
Japan,JPN,7,14,17,38,2012,London,GBR,4799612.88
Slovakia,SVK,0,1,3,4,2012,London,GBR,145826.897
Singapore,SGP,0,0,2,2,2012,London,GBR,435967.947
Spain,ESP,4,10,4,18,2012,London,GBR,1483646.902
Russia,RUS,20,20,27,67,2012,London,GBR,3480301.72
Germany,DEU,11,20,13,44,2012,London,GBR,3487234.448
Qatar,QAT,0,0,2,2,2012,London,GBR,
Grenada,GRD,1,0,0,1,2012,London,GBR,
Kazakhstan,KAZ,3,1,7,11,2012,London,GBR,
Jamaica,JAM,4,5,3,12,2012,London,GBR,
Ireland,IRL,1,1,4,6,2012,London,GBR,213240.963
Guatemala,GTM,0,1,0,1,2012,London,GBR,
Egypt,EGY,0,3,1,4,2012,London,GBR,
Hong Kong,HKG,0,0,1,1,2012,London,GBR,373485.399
Norway,NOR,2,1,1,4,2012,London,GBR,327987.716
Romania,ROU,2,4,1,7,2012,London,GBR,378485.712
Hungary,HUN,8,4,6,18,2012,London,GBR,230214.451
Puerto Rico,PRI,0,1,1,2,2012,London,GBR,
Poland,POL,3,2,6,11,2012,London,GBR,903836.561
Iran,IRN,7,5,1,13,2012,London,GBR,
Portugal,PRT,0,1,0,1,2012,London,GBR,277991.759
Indonesia,IDN,0,2,1,3,2012,London,GBR,2413435.226
Sweden,SWE,1,4,3,8,2012,London,GBR,432488.303
India,IND,0,2,4,6,2012,London,GBR,6153155.414
Mongolia,MNG,0,2,3,5,2012,London,GBR,
Italy,ITA,8,9,11,28,2012,London,GBR,2172383.108
North Korea,PRK,4,0,2,6,2012,London,GBR,
Mexico,MEX,1,3,4,8,2012,London,GBR,2012767.781
Slovenia,SVN,1,1,2,4,2012,London,GBR,59745.667
Montenegro,MNE,0,1,0,1,2012,London,GBR,
Morocco,MAR,0,0,1,1,2012,London,GBR,225677.095
Malaysia,MYS,0,1,1,2,2012,London,GBR,
Azerbaijan,AZE,2,2,5,9,2012,London,GBR,
South Africa,ZAF,4,1,1,6,2012,London,GBR,637033.795
Uzbekistan,UZB,0,0,3,3,2012,London,GBR,
Vietnam,VNM,0,0,1,1,2012,London,GBR,
Switzerland,CHE,2,2,0,4,2012,London,GBR,479280.805
Greece,GRC,0,0,2,2,2012,London,GBR,275155.48
Afghanistan,AFG,0,0,1,1,2012,London,GBR,
Algeria,DZA,1,0,0,1,2012,London,GBR,
Tajikistan,TJK,0,0,1,1,2012,London,GBR,
Denmark,DNK,2,4,3,9,2012,London,GBR,250524.599
Argentina,ARG,1,1,2,4,2012,London,GBR,819697.902
Venezuela,VEN,1,0,0,1,2012,London,GBR,
Gabon,GAB,0,1,0,1,2012,London,GBR,
Thailand,THA,0,2,2,4,2012,London,GBR,
Armenia,ARM,0,1,1,2,2012,London,GBR,
Finland,FIN,0,2,1,3,2012,London,GBR,221285.636
Cameroon,CMR,0,0,1,1,2012,London,GBR,
Estonia,EST,0,1,1,2,2012,London,GBR,34642.164
Ethiopia,ETH,3,2,3,8,2012,London,GBR,
Australia,AUS,8,15,12,35,2012,London,GBR,997527.347
Trinidad and Tobago,TTO,1,1,2,4,2012,London,GBR,
France,FRA,11,11,13,35,2012,London,GBR,2474005.287
Dominican Republic,DOM,1,1,0,2,2012,London,GBR,
Georgia,GEO,1,2,3,6,2012,London,GBR,
United Kingdom,GBR,29,17,19,65,2012,London,GBR,2439691.339
Tunisia,TUN,2,0,1,3,2012,London,GBR,
Bahamas,BHS,1,0,0,1,2012,London,GBR,
Cyprus,CYP,0,1,0,1,2012,London,GBR,27503.333
Turkey,TUR,1,1,1,3,2012,London,GBR,1550688.484
Cuba,CUB,5,3,7,15,2012,London,GBR,
Bahrain,BHR,1,0,0,1,2012,London,GBR,
United States,USA,46,28,30,104,2012,London,GBR,16197007
Croatia,HRV,3,1,2,6,2012,London,GBR,90338.799
Uganda,UGA,1,0,0,1,2012,London,GBR,
Czech Republic,CZE,4,3,4,11,2012,London,GBR,307490.199
Colombia,COL,1,3,5,9,2012,London,GBR,548251.361
Belarus,BLR,2,5,3,10,2012,London,GBR,
Bulgaria,BGR,0,2,1,3,2012,London,GBR,118701.781
Brazil,BRA,3,5,9,17,2012,London,GBR,2998534.425
China,CHN,38,31,22,91,2012,London,GBR,15124539.5
Canada,CAN,2,5,11,18,2012,London,GBR,1468094.965
Chinese Taipei,TPE,1,0,1,2,2012,London,GBR,
Ukraine,UKR,5,4,10,19,2012,London,GBR,
Belgium,BEL,0,1,2,3,2012,London,GBR,469720.336
Botswana,BWA,0,1,0,1,2012,London,GBR,
Hungary,HUN,8,3,4,15,2016,Rio de Janeiro,BRA,273925.72
Jamaica,JAM,6,3,2,11,2016,Rio de Janeiro,BRA,
Spain,ESP,7,4,6,17,2016,Rio de Janeiro,BRA,1733213.64
Slovakia,SVK,2,2,0,4,2016,Rio de Janeiro,BRA,161074.014
France,FRA,10,18,14,42,2016,Rio de Janeiro,BRA,2864105.631
Greece,GRC,3,1,2,6,2016,Rio de Janeiro,BRA,296029.545
Switzerland,CHE,3,2,2,7,2016,Rio de Janeiro,BRA,570267.342
Germany,DEU,17,10,15,42,2016,Rio de Janeiro,BRA,4165169.905
Georgia,GEO,2,1,4,7,2016,Rio de Janeiro,BRA,
India,IND,0,1,1,2,2016,Rio de Janeiro,BRA,7665672.881
Tajikistan,TJK,1,0,0,1,2016,Rio de Janeiro,BRA,
Sweden,SWE,2,6,3,11,2016,Rio de Janeiro,BRA,500423.665
Individual Olympic Athletes,IOA,1,0,1,2,2016,Rio de Janeiro,BRA,
Indonesia,IDN,1,2,0,3,2016,Rio de Janeiro,BRA,2744896.64
Trinidad and Tobago,TTO,0,0,1,1,2016,Rio de Janeiro,BRA,
Finland,FIN,0,0,1,1,2016,Rio de Janeiro,BRA,246928.493
Iran,IRN,3,1,4,8,2016,Rio de Janeiro,BRA,
Qatar,QAT,0,1,0,1,2016,Rio de Janeiro,BRA,
Mexico,MEX,0,3,2,5,2016,Rio de Janeiro,BRA,2383253.082
Tunisia,TUN,0,0,3,3,2016,Rio de Janeiro,BRA,
Slovenia,SVN,1,2,1,4,2016,Rio de Janeiro,BRA,70079.359
Thailand,THA,2,2,2,6,2016,Rio de Janeiro,BRA,
Dominican Republic,DOM,0,0,1,1,2016,Rio de Janeiro,BRA,
Japan,JPN,12,8,21,41,2016,Rio de Janeiro,BRA,5158900.414
Jordan,JOR,1,0,0,1,2016,Rio de Janeiro,BRA,
Denmark,DNK,2,6,7,15,2016,Rio de Janeiro,BRA,297719.06
Kazakhstan,KAZ,3,5,10,18,2016,Rio de Janeiro,BRA,
Czech Republic,CZE,1,2,7,10,2016,Rio de Janeiro,BRA,381420.335
South Korea,KOR,9,3,9,21,2016,Rio de Janeiro,BRA,2026967.822
Kenya,KEN,6,6,1,13,2016,Rio de Janeiro,BRA,
Turkey,TUR,1,3,4,8,2016,Rio de Janeiro,BRA,2116398.303
Kosovo,XKX,1,0,0,1,2016,Rio de Janeiro,BRA,
Egypt,EGY,0,0,3,3,2016,Rio de Janeiro,BRA,
Croatia,HRV,5,3,2,10,2016,Rio de Janeiro,BRA,103842.682
Lithuania,LTU,0,1,3,4,2016,Rio de Janeiro,BRA,88700.479
Colombia,COL,3,2,3,8,2016,Rio de Janeiro,BRA,665398.39
South Africa,ZAF,2,6,2,10,2016,Rio de Janeiro,BRA,707743.902
Chinese Taipei,TPE,1,0,2,3,2016,Rio de Janeiro,BRA,
Malaysia,MYS,0,4,1,5,2016,Rio de Janeiro,BRA,
United Arab Emirates,ARE,0,0,1,1,2016,Rio de Janeiro,BRA,
China,CHN,26,18,26,70,2016,Rio de Janeiro,BRA,18712097.15
Ireland,IRL,0,2,0,2,2016,Rio de Janeiro,BRA,339999.931
Norway,NOR,0,0,4,4,2016,Rio de Janeiro,BRA,308522.085
Ethiopia,ETH,1,2,5,8,2016,Rio de Janeiro,BRA,
Nigeria,NGA,0,0,1,1,2016,Rio de Janeiro,BRA,
Australia,AUS,8,11,10,29,2016,Rio de Janeiro,BRA,1215297.461
Netherlands,NLD,8,7,4,19,2016,Rio de Janeiro,BRA,890488.555
Serbia,SRB,2,4,2,8,2016,Rio de Janeiro,BRA,
North Korea,PRK,2,3,2,7,2016,Rio de Janeiro,BRA,
Morocco,MAR,0,0,1,1,2016,Rio de Janeiro,BRA,252196.888
Mongolia,MNG,0,1,1,2,2016,Rio de Janeiro,BRA,
Argentina,ARG,3,1,0,4,2016,Rio de Janeiro,BRA,885227.529
Azerbaijan,AZE,1,7,10,18,2016,Rio de Janeiro,BRA,
Poland,POL,2,3,6,11,2016,Rio de Janeiro,BRA,1075392.661
Brazil,BRA,7,6,6,19,2016,Rio de Janeiro,BRA,2939094.21
Singapore,SGP,1,0,0,1,2016,Rio de Janeiro,BRA,501247.434
Burundi,BDI,0,1,0,1,2016,Rio de Janeiro,BRA,
Algeria,DZA,0,2,0,2,2016,Rio de Janeiro,BRA,
Portugal,PRT,0,0,1,1,2016,Rio de Janeiro,BRA,326364.379
Bulgaria,BGR,0,1,2,3,2016,Rio de Janeiro,BRA,142696.411
United Kingdom,GBR,27,23,17,67,2016,Rio de Janeiro,BRA,2896753.121
Cuba,CUB,5,2,4,11,2016,Rio de Janeiro,BRA,
Puerto Rico,PRI,1,0,0,1,2016,Rio de Janeiro,BRA,
Fiji,FJI,1,0,0,1,2016,Rio de Janeiro,BRA,
Uzbekistan,UZB,4,2,7,13,2016,Rio de Janeiro,BRA,
Venezuela,VEN,0,2,1,3,2016,Rio de Janeiro,BRA,
Israel,ISR,0,0,2,2,2016,Rio de Janeiro,BRA,322994.484
Estonia,EST,0,0,1,1,2016,Rio de Janeiro,BRA,41548.815
Italy,ITA,8,12,8,28,2016,Rio de Janeiro,BRA,2420672.141
Ivory Coast,CIV,1,0,1,2,2016,Rio de Janeiro,BRA,
Canada,CAN,4,3,15,22,2016,Rio de Janeiro,BRA,1678093.396
Grenada,GRD,0,1,0,1,2016,Rio de Janeiro,BRA,
Niger,NER,0,1,0,1,2016,Rio de Janeiro,BRA,
Belgium,BEL,2,2,2,6,2016,Rio de Janeiro,BRA,550677.566
Russia,RUS,19,17,20,56,2016,Rio de Janeiro,BRA,3538975.3
Austria,AUT,0,0,1,1,2016,Rio de Janeiro,BRA,460282.647
Belarus,BLR,1,4,4,9,2016,Rio de Janeiro,BRA,
Vietnam,VNM,1,1,0,2,2016,Rio de Janeiro,BRA,
Romania,ROU,1,1,2,4,2016,Rio de Janeiro,BRA,478201.584
United States,USA,46,37,38,121,2016,Rio de Janeiro,BRA,18745075
Bahrain,BHR,1,1,0,2,2016,Rio de Janeiro,BRA,
New Zealand,NZL,4,9,5,18,2016,Rio de Janeiro,BRA,188355.645
Bahamas,BHS,1,0,1,2,2016,Rio de Janeiro,BRA,
Philippines,PHL,0,1,0,1,2016,Rio de Janeiro,BRA,
Armenia,ARM,1,3,0,4,2016,Rio de Janeiro,BRA,
Ukraine,UKR,2,5,4,11,2016,Rio de Janeiro,BRA,
